Co2 Data from 2017/4/12 17:17:5
Sensor is K30 FR from Co2meter.com, In Grey Box

Time(Unix)	Co2(ppm)
1492017650	463
1492017651	463
1492017651	462
1492017652	462
1492017653	462
1492017653	462
1492017654	463
1492017654	464
1492017655	464
1492017655	463
1492017656	463
1492017657	462
1492017657	462
1492017658	462
1492017658	465
1492017659	464
1492017659	464
1492017660	463
1492017661	462
1492017661	462
1492017662	463
1492017662	464
1492017663	465
1492017664	464
1492017664	463
1492017665	462
1492017665	461
1492017666	461
1492017666	462
1492017667	463
1492017668	463
1492017668	463
1492017669	462
1492017669	462
1492017670	462
1492017671	462
1492017671	462
1492017672	464
1492017672	464
1492017673	463
1492017673	461
1492017674	461
1492017675	461
1492017675	461
1492017676	462
1492017676	463
1492017677	463
1492017677	462
1492017678	461
1492017679	461
1492017679	461
1492017680	461
1492017680	462
1492017681	462
1492017681	462
1492017682	461
1492017683	460
1492017683	460
1492017684	459
1492017684	459
1492017685	460
1492017685	460
1492017686	459
1492017687	459
1492017687	458
1492017688	458
1492017688	459
1492017689	461
1492017690	463
1492017690	463
1492017691	462
1492017691	461
1492017692	461
1492017692	461
1492017693	461
1492017694	463
1492017694	464
1492017695	464
1492017695	464
1492017696	464
1492017696	463
1492017697	463
1492017698	464
1492017698	466
1492017699	465
1492017699	465
1492017700	464
1492017700	463
1492017701	463
1492017702	463
1492017702	465
1492017703	465
1492017703	465
1492017704	465
1492017705	463
1492017705	463
1492017706	463
1492017706	463
1492017707	464
1492017707	463
1492017708	463
1492017709	462
1492017709	462
1492017710	462
1492017710	462
1492017711	464
1492017711	465
1492017712	465
1492017713	463
1492017713	461
1492017714	461
1492017714	462
1492017715	462
1492017716	465
1492017716	464
1492017717	464
1492017717	463
1492017718	462
1492017718	462
1492017719	462
1492017720	464
1492017720	464
1492017721	464
1492017721	464
1492017722	462
1492017722	461
1492017723	461
1492017724	462
1492017724	464
1492017725	464
1492017725	463
1492017726	463
1492017726	461
1492017727	461
1492017728	461
1492017728	462
1492017729	463
1492017729	463
1492017730	463
1492017730	462
1492017731	462
1492017732	461
1492017732	461
1492017733	461
1492017733	462
1492017734	463
1492017734	462
1492017735	462
1492017736	460
1492017736	460
1492017737	460
1492017737	460
1492017738	461
1492017738	462
1492017739	462
1492017740	461
1492017740	461
1492017741	461
1492017741	461
1492017742	461
1492017743	463
1492017743	462
1492017744	462
1492017744	462
1492017745	461
1492017745	461
1492017746	461
1492017747	462
1492017747	462
1492017748	462
1492017748	462
1492017749	461
1492017749	461
1492017750	461
1492017751	461
1492017751	462
1492017752	463
1492017752	463
1492017753	463
1492017753	463
1492017754	462
1492017755	461
1492017755	461
1492017756	462
1492017756	463
1492017757	463
1492017757	462
1492017758	461
1492017759	460
1492017759	459
1492017760	460
1492017760	461
1492017761	461
1492017761	460
1492017762	460
1492017763	459
1492017763	459
1492017764	459
1492017764	460
1492017765	461
1492017766	460
1492017766	460
1492017767	459
1492017767	459
1492017768	459
1492017769	459
1492017769	461
1492017770	462
1492017770	461
1492017771	461
1492017771	461
1492017772	461
1492017773	461
1492017773	461
1492017774	463
1492017774	463
1492017775	463
1492017775	462
1492017776	461
1492017777	461
1492017777	461
1492017778	463
1492017778	463
1492017779	463
1492017779	463
1492017780	462
1492017781	461
1492017781	461
1492017782	462
1492017782	463
1492017783	463
1492017783	463
1492017784	463
1492017785	461
1492017785	459
1492017786	460
1492017786	461
1492017787	463
1492017787	464
1492017788	464
1492017789	463
1492017789	463
1492017790	462
1492017790	462
1492017791	462
1492017792	463
1492017792	463
1492017793	462
1492017793	462
1492017794	461
1492017795	461
1492017795	461
1492017796	461
1492017796	462
1492017797	462
1492017797	462
1492017798	461
1492017799	460
1492017799	460
1492017800	460
1492017800	462
1492017801	463
1492017801	463
1492017802	462
1492017803	461
1492017803	460
1492017804	460
1492017804	460
1492017805	461
1492017805	462
1492017806	463
1492017807	462
1492017807	462
1492017808	460
1492017808	459
1492017809	459
1492017810	460
1492017810	462
1492017811	462
1492017811	460
1492017812	459
1492017813	458
1492017813	458
1492017814	458
1492017814	458
1492017815	460
1492017815	461
1492017816	460
1492017817	459
1492017817	458
1492017818	459
1492017818	458
1492017819	459
1492017819	460
1492017820	460
1492017821	460
1492017821	459
1492017822	459
1492017822	459
1492017823	459
1492017823	461
1492017824	462
1492017825	462
1492017825	461
1492017826	461
1492017826	460
1492017827	460
1492017827	462
1492017828	463
1492017829	464
1492017829	463
1492017830	463
1492017830	461
1492017831	461
1492017831	461
1492017832	461
1492017833	462
1492017833	462
1492017834	462
1492017834	461
1492017835	461
1492017836	461
1492017836	461
1492017837	461
1492017837	462
1492017838	461
1492017838	461
1492017839	460
1492017840	460
1492017840	460
1492017841	460
1492017841	461
1492017842	462
1492017843	461
1492017843	460
1492017844	459
1492017844	459
1492017845	460
1492017845	460
1492017846	462
1492017847	462
1492017847	462
1492017848	460
1492017848	461
1492017849	461
1492017849	461
1492017850	463
1492017851	463
1492017851	463
1492017852	461
1492017852	461
1492017853	461
1492017853	461
1492017854	461
1492017855	463
1492017855	463
1492017856	462
1492017856	461
1492017857	461
1492017857	461
1492017858	461
1492017859	462
1492017859	461
1492017860	461
1492017860	461
1492017861	460
