Local time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
08:10:00, 410, 33, 96940, 0.00, 92.60, 11.36, 79.91, 15.5, 34.982852, -97.520793, 0.3
08:10:01, 412, 35, 96916, 0.00, 56.40, 11.40, 79.62, 15.4, 34.982852, -97.520793, 0.4
08:10:03, 412, 35, 96918, 0.00, 53.40, 11.46, 79.33, 15.4, 34.982852, -97.520793, 0.4
08:10:03, 413, 36, 96910, 0.00, 39.10, 11.52, 79.01, 15.4, 34.982852, -97.520793, 0.4
08:10:05, 413, 36, 96908, 0.00, 14.60, 11.58, 78.71, 15.4, 34.982852, -97.520793, 0.4
08:10:05, 413, 36, 96908, 0.00, 25.70, 11.62, 78.41, 15.4, 34.982852, -97.520793, 0.4
08:10:07, 414, 37, 96896, 0.00, 18.90, 11.68, 78.08, 15.4, 34.982852, -97.520793, 0.4
08:10:07, 413, 36, 96902, 0.00, 40.20, 11.74, 77.78, 15.4, 34.982852, -97.520793, 0.4
08:10:09, 415, 38, 96888, 0.00, 36.50, 11.78, 77.45, 15.4, 34.982852, -97.520793, 0.4
08:10:09, 415, 38, 96884, 0.00, 35.10, 11.82, 77.14, 15.4, 34.982852, -97.520793, 0.4
08:10:11, 415, 38, 96880, 0.00, 52.90, 11.88, 76.83, 15.4, 34.982852, -97.520793, 0.4
08:10:12, 415, 38, 96880, 0.00, 48.10, 11.92, 76.51, 15.4, 34.982852, -97.520793, 0.4
08:10:13, 416, 39, 96872, 0.00, 52.30, 11.96, 76.19, 15.4, 34.982852, -97.520793, 0.5
08:10:14, 416, 39, 96868, 0.00, 43.70, 12.00, 75.90, 15.3, 34.982852, -97.520793, 0.3
08:10:15, 417, 40, 96860, 0.00, 48.10, 12.04, 75.64, 15.3, 34.982852, -97.520793, 0.4
08:10:16, 417, 40, 96858, 0.00, 29.50, 12.06, 75.35, 15.3, 34.982852, -97.520792, 0.4
08:10:17, 417, 40, 96860, 0.00, 20.10, 12.10, 75.09, 15.3, 34.982852, -97.520792, 0.3
08:10:18, 417, 40, 96854, 0.00, 32.90, 12.12, 74.82, 15.3, 34.982852, -97.520792, 0.4
08:10:19, 417, 40, 96862, 0.00, 61.70, 12.14, 74.58, 15.3, 34.982852, -97.520792, 0.2
08:10:20, 418, 41, 96846, 0.00, 61.40, 12.18, 74.35, 15.3, 34.982852, -97.520792, 0.4
08:10:21, 418, 41, 96852, 0.00, 50.30, 12.18, 74.14, 15.3, 34.982852, -97.520792, 0.3
08:10:22, 419, 42, 96840, 0.00, 41.20, 12.20, 73.96, 15.3, 34.982852, -97.520792, 0.3
08:10:23, 419, 42, 96842, 0.00, 47.10, 12.20, 73.74, 15.3, 34.982852, -97.520792, 0.3
08:10:24, 420, 43, 96828, 0.00, 54.10, 12.22, 73.58, 15.2, 34.982852, -97.520792, 0.4
08:10:25, 420, 43, 96828, 0.00, 59.00, 12.22, 73.45, 15.2, 34.982852, -97.520792, 0.3
08:10:26, 420, 43, 96826, 0.00, 61.00, 12.22, 73.32, 15.2, 34.982852, -97.520792, 0.3
08:10:27, 421, 44, 96818, 0.00, 54.80, 12.22, 73.19, 15.2, 34.982852, -97.520792, 0.3
08:10:28, 421, 44, 96818, 0.00, 44.90, 12.24, 73.06, 15.2, 34.982852, -97.520792, 0.3
08:10:29, 421, 44, 96814, 0.00, 35.10, 12.24, 72.93, 15.2, 34.982852, -97.520792, 0.3
08:10:30, 422, 45, 96806, 0.00, 35.40, 12.26, 72.79, 15.2, 34.982852, -97.520792, 0.3
08:10:31, 421, 44, 96812, 0.00, 36.10, 12.26, 72.71, 15.2, 34.982852, -97.520792, 0.3
08:10:32, 422, 45, 96800, 0.00, 43.50, 12.28, 72.61, 15.2, 34.982852, -97.520790, 0.3
08:10:33, 422, 45, 96804, 0.00, 41.60, 12.28, 72.48, 15.2, 34.982852, -97.520790, 0.3
08:10:34, 423, 46, 96790, 0.00, 37.30, 12.30, 72.37, 15.2, 34.982852, -97.520790, 0.4
08:10:35, 424, 47, 96780, 0.00, 42.80, 12.32, 72.29, 15.1, 34.982853, -97.520790, 0.4
08:10:36, 423, 46, 96786, 0.00, 50.10, 12.32, 72.21, 15.1, 34.982853, -97.520790, 0.3
08:10:38, 424, 47, 96778, 0.00, 89.60, 12.34, 72.03, 15.1, 34.982853, -97.520790, 0.3
08:10:39, 424, 47, 96774, 0.00, 76.50, 12.34, 71.97, 15.1, 34.982853, -97.520790, 0.3
08:10:40, 424, 47, 96774, 0.00, 74.90, 12.36, 71.92, 15.1, 34.982853, -97.520790, 0.3
08:10:41, 425, 48, 96768, 0.00, 52.80, 12.36, 71.84, 15.1, 34.982853, -97.520790, 0.3
08:10:42, 426, 49, 96758, 0.00, 39.30, 12.38, 71.77, 15.1, 34.982853, -97.520790, 0.3
08:10:43, 426, 49, 96754, 0.00, 37.00, 12.36, 71.71, 15.0, 34.982853, -97.520790, 0.4
08:10:44, 426, 49, 96750, 0.00, 27.70, 12.38, 71.66, 15.0, 34.982853, -97.520788, 0.4
08:10:45, 426, 49, 96754, 0.00, 18.60, 12.38, 71.61, 15.0, 34.982853, -97.520788, 0.4
08:10:46, 426, 49, 96750, 0.00, 15.70, 12.38, 71.55, 15.0, 34.982853, -97.520788, 0.3
08:10:47, 427, 50, 96740, 0.00, 48.20, 12.38, 71.50, 15.0, 34.982853, -97.520788, 0.3
08:10:48, 428, 51, 96736, 0.00, 123.50, 12.38, 71.45, 15.0, 34.982853, -97.520788, 0.4
08:10:49, 427, 50, 96740, 0.00, 90.70, 12.38, 71.37, 15.0, 34.982853, -97.520788, 0.3
08:10:50, 429, 52, 96718, 0.00, 19.50, 12.40, 71.32, 14.9, 34.982853, -97.520788, 0.4
08:10:51, 429, 52, 96720, 0.00, 348.70, 12.42, 71.21, 14.9, 34.982853, -97.520788, 0.4
08:10:52, 429, 52, 96722, 0.00, 315.70, 12.44, 71.13, 14.9, 34.982853, -97.520788, 0.4
08:10:53, 430, 53, 96714, 0.00, 312.10, 12.48, 71.03, 14.9, 34.982853, -97.520788, 0.4
08:10:54, 430, 53, 96710, 0.00, 73.20, 12.48, 70.95, 14.9, 34.982853, -97.520788, 0.3
08:10:55, 431, 54, 96700, 0.00, 58.10, 12.52, 70.84, 14.9, 34.982853, -97.520788, 0.4
08:10:56, 431, 54, 96696, 0.10, 33.90, 12.54, 70.77, 14.9, 34.982853, -97.520788, 0.4
08:10:57, 432, 55, 96690, 0.00, 0.80, 12.56, 70.66, 14.8, 34.982853, -97.520788, 0.5
08:10:58, 432, 55, 96688, 0.00, 333.00, 12.58, 70.53, 14.8, 34.982853, -97.520788, 0.4
08:10:59, 432, 55, 96686, 0.00, 65.40, 12.62, 70.39, 14.8, 34.982853, -97.520788, 0.4
08:11:00, 433, 56, 96678, 0.00, 76.50, 12.64, 70.29, 14.8, 34.982853, -97.520788, 0.4
08:11:01, 433, 56, 96672, 0.00, 70.50, 12.64, 70.16, 14.8, 34.982853, -97.520787, 0.5
08:11:02, 434, 57, 96668, 0.00, 41.00, 12.64, 70.05, 14.8, 34.982853, -97.520787, 0.4
08:11:03, 434, 57, 96666, 0.00, 9.00, 12.64, 69.97, 14.8, 34.982855, -97.520787, 0.4
08:11:04, 433, 56, 96672, 0.00, 28.80, 12.66, 69.89, 14.8, 34.982855, -97.520787, 0.4
