Co2 Data from 2017/4/7 8:30:32
Sensor is K30 FR from Co2meter.com, In Blue Box

Time(Unix)	Co2(ppm)
1491554236	538
1491554237	510
1491554238	104
1491554240	212
1491554241	2113
1491554242	1132
1491554243	1194
1491554244	560
1491554245	65452
1491554246	277
1491554247	246
1491554248	344
1491554249	215
1491554250	1120
1491554251	1184
1491554252	1399
1491554254	539
1491554255	539
1491554256	539
1491554257	634
1491554258	1360
1491554259	1046
1491554260	848
1491554261	2801
1491554262	2489
1491554263	1087
1491554264	898
1491554265	1024
1491554267	1024
1491554268	1617
1491554269	2900
1491554270	928
1491554271	783
1491554272	783
1491554273	1395
1491554274	3640
1491554275	126
1491554276	386
1491554277	386
1491554278	579
1491554279	1874
1491554281	2681
1491554282	662
1491554283	572
1491554284	628
1491554285	162
1491554286	65523
1491554287	133
1491554288	689
1491554289	652
1491554290	2050
1491554291	881
1491554292	908
1491554294	908
1491554295	908
1491554296	1130
1491554297	933
1491554298	668
1491554299	315
1491554300	315
1491554301	586
1491554302	516
1491554303	162
1491554304	162
1491554305	227
1491554307	339
1491554308	1163
1491554309	876
1491554310	1642
1491554311	2623
1491554312	2131
1491554313	1775
1491554314	65519
1491554315	493
1491554316	493
1491554317	612
1491554319	90
1491554320	280
1491554321	2010
1491554322	2158
1491554323	1255
1491554324	1851
1491554325	1851
1491554326	3872
1491554327	2921
1491554328	1562
1491554329	2356
1491554330	1837
1491554332	1488
1491554333	2328
1491554334	2057
1491554335	1406
1491554336	764
1491554337	1894
1491554338	759
1491554339	32
1491554340	300
1491554341	300
1491554342	1474
1491554343	2282
1491554345	1249
1491554346	1494
1491554347	1205
1491554348	2722
1491554349	629
1491554350	498
1491554351	1476
1491554352	1476
1491554353	1697
1491554354	264
1491554355	65416
1491554356	266
1491554358	196
1491554359	806
1491554360	701
1491554361	607
1491554362	2040
1491554363	2040
1491554364	106
1491554365	158
1491554366	158
1491554367	158
1491554368	110
1491554369	84
1491554370	528
1491554372	1696
1491554373	1264
1491554374	806
1491554375	806
1491554376	932
1491554377	932
1491554378	950
1491554379	865
1491554380	268
1491554381	727
1491554382	463
1491554383	507
1491554384	646
1491554386	331
1491554387	365
1491554388	355
1491554389	396
1491554390	646
1491554391	843
1491554392	317
1491554393	65453
1491554394	636
1491554395	1237
1491554396	567
1491554397	1682
1491554399	264
1491554400	1
1491554401	242
1491554402	242
1491554403	289
1491554404	289
1491554405	69
1491554406	965
1491554407	832
1491554408	1502
1491554409	1196
1491554410	2580
1491554412	2159
1491554413	1425
1491554414	1494
1491554415	303
1491554416	126
1491554417	126
1491554418	359
1491554419	1650
1491554420	1508
1491554421	593
1491554422	1697
1491554423	2838
1491554424	469
1491554426	695
1491554427	227
1491554428	105
1491554429	342
1491554430	1524
1491554431	1449
1491554432	1101
1491554433	753
1491554434	516
1491554435	487
1491554436	595
1491554437	534
1491554439	471
1491554440	444
1491554441	395
1491554442	2014
1491554443	2249
1491554444	3957
1491554445	2940
1491554446	2940
1491554447	632
1491554448	1658
1491554449	766
1491554450	441
1491554451	939
1491554453	987
1491554454	151
1491554455	65474
1491554456	65430
1491554457	1359
1491554458	1558
1491554459	1603
1491554460	939
1491554461	360
1491554462	515
1491554463	939
1491554465	610
1491554466	367
1491554467	546
1491554468	517
1491554469	1480
1491554470	853
1491554471	572
1491554472	131
1491554473	31
1491554474	92
1491554475	480
1491554476	580
1491554478	1544
1491554479	2212
1491554480	1914
1491554481	3897
1491554482	2117
1491554483	235
1491554484	184
1491554485	187
1491554486	270
1491554487	136
1491554488	193
1491554489	342
1491554490	2742
1491554492	2271
1491554493	1674
1491554494	178
1491554495	274
1491554496	730
1491554497	1074
1491554498	1720
1491554499	238
1491554500	1276
1491554501	698
1491554502	487
1491554503	80
1491554504	80
1491554506	80
1491554507	80
1491554508	5
1491554509	5
1491554510	96
1491554511	1493
1491554512	673
1491554513	200
1491554514	209
1491554515	106
1491554516	568
1491554517	562
1491554518	120
1491554520	120
1491554521	2
1491554522	1138
1491554523	322
1491554524	322
1491554525	543
1491554526	305
1491554527	601
1491554528	65448
1491554529	65448
1491554530	47
1491554531	113
1491554533	65477
1491554534	65477
1491554535	878
1491554536	431
1491554537	232
1491554538	1296
1491554539	2989
1491554540	2989
1491554541	4676
1491554542	4676
1491554543	7118
1491554545	10000
1491554546	6704
1491554547	2856
1491554548	715
1491554549	600
1491554550	271
1491554551	271
1491554552	271
1491554553	401
1491554554	401
1491554556	507
1491554557	140
1491554558	286
1491554559	433
1491554560	1974
1491554561	1400
1491554562	1010
1491554563	65484
1491554564	200
1491554565	292
1491554566	539
1491554567	175
1491554569	344
1491554570	422
1491554571	414
1491554572	1170
1491554573	1844
1491554574	1362
1491554575	1198
1491554576	857
1491554577	1212
1491554578	1023
1491554579	609
1491554580	642
1491554582	636
1491554583	631
1491554584	1878
1491554585	805
1491554586	183
1491554587	227
1491554588	267
1491554589	442
1491554590	319
1491554591	696
1491554592	3
1491554593	308
1491554594	408
1491554596	130
1491554597	667
1491554598	3969
1491554599	1616
1491554600	630
1491554601	305
1491554602	618
1491554603	551
1491554604	1471
1491554605	1346
1491554606	1346
1491554607	3021
1491554608	3021
1491554610	298
1491554611	1287
1491554612	3106
1491554613	1636
1491554614	203
1491554615	59
1491554616	269
1491554617	843
1491554618	707
1491554619	143
1491554620	65457
1491554622	202
1491554623	65426
1491554624	13
1491554625	984
1491554626	469
1491554627	453
1491554628	269
1491554629	255
1491554630	392
1491554631	232
1491554632	118
1491554633	2515
1491554635	1184
1491554636	2461
1491554637	2461
1491554638	2111
1491554639	1749
1491554640	1928
1491554641	2438
1491554642	751
1491554643	666
1491554644	1638
1491554645	1379
1491554646	3223
1491554647	2908
1491554649	2908
1491554650	2805
1491554651	310
1491554652	310
1491554653	319
1491554654	174
1491554655	623
1491554656	581
1491554657	963
1491554658	1075
1491554659	414
1491554660	567
1491554661	2255
1491554662	2255
1491554664	4305
1491554665	1950
1491554666	2599
1491554667	5250
1491554668	2544
1491554669	1842
1491554670	2801
1491554671	1948
1491554672	1948
1491554673	1448
1491554674	1315
1491554675	754
1491554676	464
1491554678	896
1491554679	2015
1491554680	576
1491554681	843
1491554682	540
1491554683	2738
1491554684	2738
1491554685	1525
1491554686	778
1491554687	1259
1491554688	1150
1491554689	590
1491554691	507
1491554692	1022
1491554693	2991
1491554694	1500
1491554695	1438
1491554696	308
1491554697	379
1491554698	65483
1491554699	65455
1491554700	65471
1491554702	65471
1491554703	168
1491554704	325
1491554705	1373
1491554706	1373
1491554707	995
1491554708	1413
1491554709	1812
1491554710	2488
1491554711	2488
1491554712	1512
1491554714	1742
1491554715	2275
1491554716	367
1491554717	533
1491554718	3096
1491554719	2782
1491554720	1307
1491554721	2528
1491554722	1887
1491554723	1002
1491554724	1540
1491554725	587
1491554726	536
1491554728	808
1491554729	1503
1491554730	836
1491554731	65529
1491554732	981
1491554733	1155
1491554734	727
1491554735	727
1491554736	541
1491554737	65506
1491554739	244
1491554740	268
1491554741	2001
1491554742	2001
1491554743	1143
1491554744	2105
1491554745	1787
1491554746	1532
1491554747	1352
1491554748	635
1491554749	2028
1491554750	765
1491554752	685
1491554753	597
1491554754	547
1491554755	1618
1491554756	2433
1491554757	1444
1491554758	1602
1491554759	585
1491554760	689
1491554761	851
1491554762	851
1491554763	875
1491554765	1924
1491554766	7097
1491554767	2215
1491554768	1469
1491554769	1068
1491554770	449
1491554771	631
1491554772	728
1491554773	467
1491554774	884
1491554775	405
1491554777	317
1491554778	259
1491554779	186
1491554780	330
1491554781	65497
1491554782	65497
1491554783	457
1491554784	119
1491554785	223
1491554786	223
1491554787	291
1491554789	476
1491554790	600
1491554791	232
1491554792	1543
1491554793	4134
1491554794	3887
1491554795	5637
1491554796	3688
1491554797	3490
1491554798	5534
1491554799	3895
1491554800	2585
1491554801	1790
1491554802	712
1491554804	65487
1491554805	91
1491554806	91
1491554807	73
1491554808	689
1491554809	65509
1491554810	129
1491554811	123
1491554812	1697
1491554813	551
1491554814	551
1491554815	943
1491554817	1390
1491554818	379
1491554819	580
1491554820	1027
1491554821	1488
1491554822	1488
1491554823	1157
1491554824	947
1491554825	692
1491554826	692
1491554827	4818
1491554828	2768
1491554829	1979
1491554831	1144
1491554832	1210
1491554833	1004
1491554834	1822
1491554835	1662
1491554836	1662
1491554837	4083
1491554838	3331
1491554839	1610
1491554840	686
1491554841	952
1491554842	779
1491554844	84
1491554845	25
1491554846	379
1491554847	379
1491554848	65452
1491554849	377
1491554850	1351
1491554851	1058
1491554852	65526
1491554853	25
1491554854	65441
1491554856	65521
1491554857	483
1491554858	287
1491554859	287
1491554860	65500
1491554861	387
1491554862	1896
1491554863	3478
1491554864	1896
1491554865	4240
1491554867	1678
1491554868	189
1491554869	65522
1491554870	93
1491554871	211
1491554872	6
1491554873	831
1491554874	2428
1491554875	3169
1491554876	3572
1491554877	1662
1491554879	1232
1491554880	1545
1491554881	2644
1491554882	997
1491554883	1471
1491554884	3120
1491554885	421
1491554886	198
1491554887	3591
1491554888	6003
1491554889	5870
1491554891	4064
1491554892	1959
1491554893	122
1491554894	241
1491554895	745
1491554896	949
1491554897	247
1491554898	302
1491554899	572
1491554900	25
1491554901	1434
1491554902	692
1491554904	527
1491554905	998
1491554906	2103
1491554907	1503
1491554908	1841
1491554909	1841
1491554910	5770
1491554911	2623
1491554912	245
1491554913	374
1491554914	438
1491554915	532
1491554916	532
1491554918	147
1491554919	16
1491554920	116
1491554921	193
1491554922	240
1491554923	65430
1491554924	819
1491554925	398
1491554926	1269
1491554927	2719
1491554928	927
1491554929	1353
1491554931	1353
1491554932	1132
1491554933	1274
1491554934	357
1491554935	382
1491554936	396
1491554937	453
1491554938	1425
1491554939	1153
1491554940	740
1491554941	923
1491554942	104
1491554943	199
1491554945	685
1491554946	685
1491554947	2308
1491554948	219
1491554949	488
1491554950	2007
1491554951	786
1491554952	797
1491554953	986
1491554954	2621
1491554955	2021
1491554956	2021
1491554957	1297
1491554959	3145
1491554960	3610
1491554961	2521
1491554962	1436
1491554963	1305
1491554964	2217
1491554965	1122
1491554966	1122
1491554967	1127
1491554968	1114
1491554969	959
1491554970	820
1491554972	321
1491554973	369
1491554974	587
1491554975	4138
1491554976	3470
1491554977	778
1491554978	3416
1491554979	4302
1491554980	2930
1491554981	158
1491554982	529
1491554983	529
1491554985	176
1491554986	397
1491554987	293
1491554988	928
1491554989	65503
1491554990	65508
1491554991	888
1491554992	2061
1491554993	2255
1491554994	1014
1491554995	658
1491554997	730
1491554998	2197
1491554999	1318
1491555000	976
1491555001	690
1491555002	669
1491555003	97
1491555004	65417
1491555005	935
1491555006	837
1491555007	811
1491555009	811
1491555010	393
1491555011	1014
1491555012	867
1491555013	278
1491555014	815
1491555015	326
1491555016	325
1491555017	3995
1491555018	3995
1491555019	3961
1491555020	3421
1491555022	7209
1491555023	4245
1491555024	5394
1491555025	5183
1491555026	2270
1491555027	1998
1491555028	4687
1491555029	1660
1491555030	1407
1491555031	747
1491555032	628
1491555033	721
1491555035	65417
1491555036	1172
1491555037	1772
1491555038	1772
1491555039	1426
1491555040	663
1491555041	2280
1491555042	4016
1491555043	2504
1491555044	2937
1491555045	2937
1491555047	2297
1491555048	1573
1491555049	1129
1491555050	1352
1491555051	522
1491555052	197
1491555053	5229
1491555054	5229
1491555055	1431
1491555056	2283
1491555057	2283
1491555058	580
1491555059	549
1491555061	892
1491555062	719
1491555063	658
1491555064	563
1491555065	73
1491555066	161
1491555067	562
1491555068	516
1491555069	357
1491555070	166
1491555071	166
1491555072	285
1491555073	202
1491555075	381
1491555076	116
1491555077	4
1491555078	236
1491555079	236
1491555080	236
1491555081	330
1491555082	17
1491555083	393
1491555084	65535
1491555085	1172
1491555086	1161
1491555088	3477
1491555089	2799
1491555090	1925
1491555091	159
1491555092	568
1491555093	568
1491555094	568
1491555095	2971
1491555096	1790
1491555097	1580
1491555098	986
1491555099	787
1491555101	781
1491555102	1541
1491555103	1988
1491555104	1314
1491555105	2607
1491555106	1886
1491555107	2939
1491555108	1730
1491555109	4190
1491555110	2079
1491555111	1644
1491555112	501
1491555113	432
1491555115	783
1491555116	57
1491555117	199
1491555118	65442
1491555119	65442
1491555120	65530
1491555121	65530
1491555122	299
1491555124	131
1491555125	131
1491555126	770
1491555127	623
1491555128	593
1491555129	234
1491555130	237
1491555131	610
1491555132	38
1491555133	1824
1491555134	761
1491555135	761
1491555137	1027
1491555138	633
1491555139	547
1491555140	475
1491555141	475
1491555142	635
1491555143	19
1491555144	107
1491555145	283
1491555146	102
1491555147	600
1491555148	1043
1491555150	1919
1491555151	1919
1491555152	3269
1491555153	7808
1491555154	5051
1491555155	1358
1491555156	1370
1491555157	626
1491555158	111
1491555159	1525
1491555160	501
1491555162	492
1491555163	344
1491555164	3492
1491555165	2000
1491555166	1428
1491555167	955
1491555168	530
1491555169	2346
1491555170	530
1491555171	302
1491555172	320
1491555173	951
1491555174	991
1491555176	5623
1491555177	300
1491555178	1484
1491555179	1484
1491555180	1353
1491555181	1947
1491555182	2070
1491555183	3019
1491555184	713
1491555185	467
1491555186	942
1491555187	321
1491555188	1425
1491555190	327
1491555191	320
1491555192	189
1491555193	189
1491555194	189
1491555195	540
1491555196	582
1491555197	537
1491555198	1999
1491555199	2991
1491555200	3319
1491555202	2197
1491555203	1847
1491555204	1847
1491555205	118
1491555206	502
1491555207	270
1491555208	2797
1491555209	1459
1491555210	482
1491555211	823
1491555212	622
1491555213	1937
1491555214	1290
1491555215	2380
1491555217	178
1491555218	787
1491555219	787
1491555220	778
1491555221	780
1491555222	823
1491555223	1427
1491555224	1125
1491555225	1108
1491555226	1301
1491555227	611
1491555228	841
1491555229	293
1491555231	595
1491555232	1192
1491555233	410
1491555234	410
1491555235	409
1491555236	2756
1491555237	3247
1491555238	1551
1491555239	3498
1491555240	3498
1491555241	1157
1491555242	1050
1491555244	717
1491555245	2406
1491555246	1118
1491555247	2851
1491555248	2851
1491555249	1054
1491555250	522
1491555251	432
1491555252	157
1491555253	3910
1491555254	65491
1491555256	221
1491555257	1168
1491555258	1496
1491555259	1599
1491555260	1599
1491555261	2947
1491555262	1411
1491555263	2854
1491555264	4264
1491555265	1243
1491555266	3111
1491555267	3076
1491555269	3076
1491555270	1832
1491555271	1832
1491555272	2262
1491555273	1179
1491555274	728
1491555275	136
1491555276	16
1491555277	65457
1491555278	3609
1491555279	112
1491555281	236
1491555282	691
1491555283	725
1491555284	1515
1491555285	2393
1491555286	1741
1491555287	2056
1491555288	4206
1491555289	4981
1491555290	3333
1491555291	6151
1491555292	1941
1491555294	1649
1491555295	953
1491555296	661
1491555297	2460
1491555298	1299
1491555299	1267
1491555300	940
1491555301	1560
1491555302	1124
1491555303	3015
1491555304	2385
1491555305	1066
1491555307	258
1491555308	258
1491555309	401
1491555310	345
1491555311	478
1491555312	609
1491555313	658
1491555314	3519
1491555315	2094
1491555316	1673
1491555317	5028
1491555318	2208
1491555319	306
1491555321	390
1491555322	550
1491555323	693
1491555324	390
1491555325	430
1491555326	1
1491555327	769
1491555328	1991
1491555329	1649
1491555330	2060
1491555331	2060
1491555332	208
1491555334	330
1491555335	380
