Local time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
08:47:06, 389, 32, 98628, 0.00, 131.50, 4.44, 83.98, 6.5, 34.982855, -97.520758, 0.6
08:47:07, 389, 32, 98622, 0.00, 150.80, 4.46, 83.93, 6.5, 34.982855, -97.520758, 0.5
08:47:08, 390, 33, 98620, 0.00, 144.50, 4.46, 83.85, 6.5, 34.982853, -97.520757, 0.5
08:47:09, 390, 33, 98610, 0.00, 134.90, 4.46, 83.77, 6.4, 34.982853, -97.520757, 0.5
08:47:10, 391, 34, 98602, 0.00, 177.40, 4.48, 83.69, 6.4, 34.982853, -97.520757, 0.5
08:47:11, 391, 34, 98600, 0.00, 26.10, 4.46, 83.64, 6.4, 34.982853, -97.520757, 0.5
08:47:12, 392, 35, 98596, 0.00, 54.80, 4.46, 83.56, 6.4, 34.982853, -97.520757, 0.5
08:47:13, 392, 35, 98588, 0.00, 135.50, 4.42, 83.49, 6.3, 34.982853, -97.520757, 0.5
08:47:14, 393, 36, 98584, 0.00, 135.00, 4.42, 83.43, 6.3, 34.982853, -97.520757, 0.5
08:47:15, 393, 36, 98578, 0.00, 150.80, 4.42, 83.38, 6.3, 34.982853, -97.520755, 0.4
08:47:16, 393, 36, 98576, 0.00, 148.80, 4.40, 83.33, 6.2, 34.982852, -97.520755, 0.4
08:47:17, 394, 37, 98566, 0.00, 130.20, 4.38, 83.27, 6.2, 34.982852, -97.520755, 0.5
08:47:18, 395, 38, 98560, 0.00, 283.20, 4.36, 83.25, 6.2, 34.982852, -97.520755, 0.4
08:47:19, 395, 38, 98560, 0.00, 279.10, 4.34, 83.22, 6.2, 34.982852, -97.520755, 0.4
08:47:20, 396, 39, 98546, 0.00, 266.70, 4.34, 83.22, 6.1, 34.982852, -97.520755, 0.5
08:47:21, 397, 40, 98530, 0.00, 259.20, 4.30, 83.16, 6.1, 34.982852, -97.520757, 0.6
08:47:22, 397, 40, 98534, 0.00, 256.90, 4.28, 83.16, 6.1, 34.982852, -97.520757, 0.5
08:47:23, 399, 42, 98514, 0.00, 265.00, 4.28, 83.18, 6.0, 34.982852, -97.520758, 0.6
08:47:24, 398, 41, 98520, 0.00, 250.30, 4.26, 83.18, 6.0, 34.982852, -97.520758, 0.5
08:47:25, 399, 42, 98504, 0.00, 242.40, 4.26, 83.20, 6.0, 34.982852, -97.520758, 0.6
08:47:26, 399, 42, 98506, 0.00, 270.10, 4.24, 83.23, 6.0, 34.982852, -97.520758, 0.5
08:47:27, 400, 43, 98502, 0.00, 294.10, 4.24, 83.29, 5.9, 34.982852, -97.520760, 0.5
08:47:28, 400, 43, 98496, 0.00, 95.70, 4.22, 83.34, 5.9, 34.982852, -97.520760, 0.5
08:47:29, 401, 44, 98482, 0.00, 257.10, 4.22, 83.39, 5.9, 34.982852, -97.520758, 0.6
08:47:30, 401, 44, 98482, 0.00, 243.30, 4.22, 83.42, 5.9, 34.982852, -97.520760, 0.6
08:47:31, 401, 44, 98480, 0.00, 234.60, 4.20, 83.47, 5.8, 34.982850, -97.520760, 0.5
08:47:32, 402, 45, 98472, 0.00, 183.90, 4.20, 83.49, 5.8, 34.982850, -97.520760, 0.6
08:47:33, 403, 46, 98466, 0.00, 163.10, 4.18, 83.52, 5.8, 34.982850, -97.520760, 0.5
08:47:34, 403, 46, 98466, 0.00, 139.20, 4.16, 83.55, 5.8, 34.982850, -97.520760, 0.4
08:47:35, 403, 46, 98460, 0.00, 114.30, 4.16, 83.60, 5.8, 34.982850, -97.520760, 0.5
08:47:36, 404, 47, 98446, 0.00, 122.10, 4.14, 83.65, 5.7, 34.982850, -97.520758, 0.4
08:47:37, 404, 47, 98446, 0.00, 286.50, 4.14, 83.65, 5.7, 34.982848, -97.520763, 0.5
08:47:38, 405, 48, 98440, 0.00, 297.10, 4.14, 83.71, 5.7, 34.982848, -97.520765, 0.4
08:47:39, 405, 48, 98438, 0.00, 319.20, 4.14, 83.69, 5.7, 34.982848, -97.520767, 0.4
08:47:40, 406, 49, 98428, 0.00, 356.50, 4.14, 83.75, 5.7, 34.982850, -97.520767, 0.5
08:47:41, 407, 50, 98412, 0.00, 343.90, 4.14, 83.78, 5.7, 34.982850, -97.520768, 0.5
08:47:42, 407, 50, 98416, 0.00, 355.80, 4.14, 83.82, 5.7, 34.982850, -97.520768, 0.4
08:47:43, 408, 51, 98408, 0.00, 343.50, 4.14, 83.88, 5.6, 34.982850, -97.520768, 0.5
08:47:44, 407, 50, 98410, 0.00, 345.90, 4.14, 83.94, 5.6, 34.982850, -97.520768, 0.5
08:47:45, 409, 52, 98396, 0.00, 318.60, 4.18, 84.00, 5.6, 34.982852, -97.520768, 0.5
08:47:46, 409, 52, 98396, 0.00, 268.40, 4.20, 84.02, 5.6, 34.982852, -97.520768, 0.5
08:47:47, 409, 52, 98394, 0.00, 289.60, 4.20, 84.05, 5.6, 34.982852, -97.520768, 0.5
08:47:48, 410, 53, 98378, 0.00, 329.40, 4.24, 84.05, 5.6, 34.982852, -97.520768, 0.5
08:47:49, 410, 53, 98380, 0.00, 34.30, 4.26, 84.07, 5.6, 34.982852, -97.520768, 0.4
08:47:50, 411, 54, 98372, 0.00, 38.80, 4.26, 84.07, 5.6, 34.982852, -97.520768, 0.5
08:47:51, 411, 54, 98364, 0.00, 63.70, 4.26, 84.07, 5.6, 34.982852, -97.520768, 0.5
08:47:52, 412, 55, 98358, 0.00, 149.70, 4.26, 84.05, 5.6, 34.982852, -97.520768, 0.5
08:47:53, 411, 54, 98362, 0.00, 115.60, 4.26, 84.05, 5.6, 34.982852, -97.520768, 0.4
08:47:54, 413, 56, 98346, 0.00, 113.00, 4.26, 84.02, 5.6, 34.982852, -97.520768, 0.4
08:47:55, 413, 56, 98342, 0.00, 120.20, 4.24, 84.00, 5.6, 34.982853, -97.520768, 0.5
08:47:56, 413, 56, 98340, 0.00, 211.80, 4.24, 84.00, 5.6, 34.982853, -97.520770, 0.4
