Local time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
07:58:38, 389, 32, 98592, 0.00, 207.90, 3.72, 85.56, 6.3, 34.982832, -97.520813, 0.5
07:58:39, 389, 32, 98582, 0.10, 204.40, 3.74, 85.48, 6.3, 34.982830, -97.520813, 0.5
07:58:40, 390, 33, 98576, 0.00, 208.10, 3.78, 85.29, 6.3, 34.982830, -97.520813, 0.5
07:58:41, 391, 34, 98564, 0.10, 228.50, 3.82, 85.13, 6.3, 34.982830, -97.520815, 0.5
07:58:43, 392, 35, 98554, 0.20, 206.90, 3.90, 84.82, 6.3, 34.982828, -97.520818, 0.5
07:58:44, 392, 35, 98546, 0.20, 186.90, 3.92, 84.71, 6.3, 34.982827, -97.520817, 0.5
07:58:46, 394, 37, 98530, 0.20, 170.30, 4.00, 84.44, 6.3, 34.982823, -97.520815, 0.5
07:58:47, 394, 37, 98524, 0.20, 167.80, 4.06, 84.33, 6.3, 34.982820, -97.520815, 0.5
07:58:50, 395, 38, 98512, 0.10, 148.00, 4.20, 83.93, 6.4, 34.982817, -97.520812, 0.6
07:58:51, 396, 39, 98506, 0.00, 147.70, 4.24, 83.77, 6.4, 34.982815, -97.520810, 0.5
07:58:52, 397, 40, 98496, 0.00, 144.80, 4.30, 83.68, 6.4, 34.982815, -97.520810, 0.6
07:58:53, 397, 40, 98492, 0.10, 281.70, 4.34, 83.49, 6.4, 34.982815, -97.520810, 0.5
07:58:54, 397, 40, 98496, 0.10, 258.50, 4.38, 83.33, 6.4, 34.982815, -97.520810, 0.4
07:58:55, 397, 40, 98488, 0.00, 250.30, 4.44, 83.22, 6.4, 34.982815, -97.520812, 0.5
07:58:56, 399, 42, 98474, 0.00, 189.70, 4.52, 83.12, 6.5, 34.982815, -97.520813, 0.5
07:58:57, 399, 42, 98466, 0.10, 174.60, 4.60, 82.96, 6.5, 34.982815, -97.520813, 0.5
07:58:58, 400, 43, 98462, 0.10, 196.80, 4.66, 82.84, 6.5, 34.982813, -97.520813, 0.5
07:58:59, 400, 43, 98454, 0.10, 267.40, 4.74, 82.71, 6.6, 34.982812, -97.520813, 0.5
07:59:00, 400, 43, 98456, 0.10, 242.90, 4.82, 82.59, 6.6, 34.982812, -97.520815, 0.4
07:59:01, 401, 44, 98446, 0.10, 241.90, 4.88, 82.46, 6.7, 34.982812, -97.520817, 0.5
07:59:02, 402, 45, 98438, 0.10, 234.40, 4.98, 82.31, 6.7, 34.982812, -97.520818, 0.5
