Local time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
08:46:56, 387, 30, 98644, 0.00, 134.10, 4.22, 82.67, 8.5, 34.982898, -97.520765, 0.6
08:46:57, 387, 30, 98636, 0.00, 205.80, 4.22, 82.72, 8.5, 34.982898, -97.520765, 0.6
08:46:58, 388, 31, 98626, 0.00, 217.90, 4.20, 82.75, 8.4, 34.982898, -97.520767, 0.6
08:46:59, 388, 31, 98624, 0.00, 143.70, 4.20, 82.80, 8.4, 34.982898, -97.520767, 0.6
08:47:00, 389, 32, 98616, 0.00, 141.00, 4.20, 82.82, 8.4, 34.982898, -97.520767, 0.6
08:47:01, 390, 33, 98608, 0.00, 154.60, 4.20, 82.88, 8.3, 34.982898, -97.520767, 0.7
08:47:02, 390, 33, 98606, 0.00, 116.60, 4.24, 82.91, 8.2, 34.982898, -97.520765, 0.6
08:47:03, 391, 34, 98590, 0.00, 114.70, 4.28, 82.97, 8.2, 34.982898, -97.520765, 0.6
08:47:04, 392, 35, 98584, 0.00, 126.50, 4.30, 83.00, 8.1, 34.982898, -97.520765, 0.6
08:47:05, 392, 35, 98578, 0.00, 146.00, 4.32, 83.02, 8.1, 34.982898, -97.520765, 0.6
08:47:06, 392, 35, 98580, 0.00, 145.60, 4.34, 83.02, 8.1, 34.982898, -97.520765, 0.5
08:47:07, 393, 36, 98574, 0.00, 148.40, 4.36, 83.02, 8.1, 34.982898, -97.520765, 0.5
08:47:08, 394, 37, 98562, 0.00, 151.80, 4.38, 83.02, 8.0, 34.982898, -97.520765, 0.6
08:47:09, 394, 37, 98562, 0.00, 223.20, 4.40, 83.01, 8.0, 34.982898, -97.520765, 0.5
08:47:10, 394, 37, 98554, 0.00, 157.70, 4.42, 82.98, 7.9, 34.982898, -97.520765, 0.5
08:47:11, 394, 37, 98558, 0.00, 114.70, 4.44, 82.96, 7.9, 34.982898, -97.520765, 0.5
08:47:12, 395, 38, 98546, 0.00, 115.70, 4.44, 82.91, 7.9, 34.982898, -97.520765, 0.5
08:47:13, 395, 38, 98540, 0.00, 136.30, 4.44, 82.85, 7.8, 34.982897, -97.520765, 0.5
08:47:14, 397, 40, 98520, 0.00, 154.40, 4.44, 82.80, 7.8, 34.982897, -97.520765, 0.6
08:47:15, 397, 40, 98524, 0.00, 164.30, 4.44, 82.75, 7.7, 34.982897, -97.520765, 0.5
08:47:16, 396, 39, 98530, 0.00, 149.70, 4.44, 82.72, 7.7, 34.982897, -97.520765, 0.4
08:47:17, 396, 39, 98528, 0.00, 147.10, 4.44, 82.67, 7.7, 34.982897, -97.520765, 0.4
08:47:18, 397, 40, 98518, 0.00, 150.10, 4.40, 82.64, 7.7, 34.982897, -97.520765, 0.4
08:47:19, 399, 42, 98500, 0.00, 156.90, 4.38, 82.55, 7.6, 34.982895, -97.520765, 0.5
08:47:20, 399, 42, 98500, 0.10, 160.70, 4.36, 82.49, 7.6, 34.982895, -97.520763, 0.4
08:47:21, 399, 42, 98498, 0.10, 159.30, 4.34, 82.49, 7.6, 34.982893, -97.520763, 0.5
08:47:22, 400, 43, 98486, 0.10, 158.00, 4.32, 82.47, 7.6, 34.982892, -97.520763, 0.5
08:47:23, 400, 43, 98484, 0.20, 157.00, 4.30, 82.47, 7.5, 34.982890, -97.520762, 0.5
