Local time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
09:06:54, 383, 26, 98700, 0.00, 107.90, 5.08, 81.42, 9.3, 34.982923, -97.520758, 0.9
09:06:55, 385, 28, 98676, 0.00, 235.30, 5.08, 81.42, 9.2, 34.982923, -97.520758, 1.0
09:06:56, 385, 28, 98670, 0.00, 358.20, 5.06, 81.42, 9.1, 34.982923, -97.520758, 0.9
09:06:57, 386, 29, 98658, 0.00, 174.10, 5.06, 81.44, 9.0, 34.982923, -97.520757, 0.9
09:06:58, 387, 30, 98652, 0.00, 167.70, 5.06, 81.44, 9.0, 34.982922, -97.520757, 0.9
09:06:59, 387, 30, 98650, 0.00, 133.40, 5.02, 81.44, 8.9, 34.982918, -97.520753, 0.8
09:07:00, 387, 30, 98648, 0.00, 196.20, 5.00, 81.44, 8.9, 34.982918, -97.520753, 0.7
09:07:01, 389, 32, 98624, 0.00, 172.50, 4.98, 81.47, 8.8, 34.982915, -97.520752, 0.8
09:07:02, 390, 33, 98616, 0.00, 261.80, 4.98, 81.50, 8.7, 34.982915, -97.520753, 0.8
09:07:03, 391, 34, 98606, 0.00, 267.70, 4.98, 81.53, 8.7, 34.982915, -97.520753, 0.8
09:07:04, 392, 35, 98590, 0.00, 130.80, 4.98, 81.55, 8.7, 34.982913, -97.520753, 0.8
09:07:05, 393, 36, 98580, 0.00, 217.40, 4.96, 81.60, 8.6, 34.982910, -97.520755, 0.8
09:07:06, 394, 37, 98566, 0.00, 218.00, 4.96, 81.66, 8.5, 34.982910, -97.520755, 0.8
09:07:07, 395, 38, 98554, 0.00, 152.90, 4.96, 81.69, 8.5, 34.982910, -97.520755, 0.9
09:07:08, 396, 39, 98538, 0.00, 76.10, 4.94, 81.64, 8.4, 34.982910, -97.520755, 0.9
09:07:09, 398, 41, 98522, 0.00, 355.40, 4.92, 81.64, 8.4, 34.982910, -97.520755, 1.0
09:07:10, 398, 41, 98516, 0.00, 235.90, 4.92, 81.72, 8.4, 34.982910, -97.520755, 1.0
09:07:11, 398, 41, 98516, 0.00, 246.50, 4.88, 81.77, 8.4, 34.982910, -97.520757, 0.9
09:07:13, 400, 43, 98496, 0.00, 273.20, 4.84, 81.91, 8.4, 34.982910, -97.520757, 1.0
09:07:14, 401, 44, 98484, 0.30, 174.40, 4.80, 81.98, 8.3, 34.982908, -97.520757, 0.9
09:07:17, 405, 48, 98432, 0.30, 182.20, 4.78, 82.27, 8.2, 34.982900, -97.520757, 1.0
09:07:18, 405, 48, 98432, 0.20, 170.20, 4.78, 82.38, 8.2, 34.982898, -97.520755, 0.9
09:07:19, 408, 51, 98408, 0.20, 66.10, 4.74, 82.46, 8.1, 34.982898, -97.520753, 1.0
09:07:20, 408, 51, 98404, 0.10, 112.90, 4.72, 82.47, 8.1, 34.982898, -97.520752, 0.9
09:07:21, 409, 52, 98396, 0.20, 182.70, 4.70, 82.55, 8.1, 34.982895, -97.520750, 0.9
09:07:22, 409, 52, 98386, 0.20, 166.60, 4.70, 82.60, 8.1, 34.982893, -97.520750, 0.9
09:07:23, 411, 54, 98372, 0.20, 194.90, 4.70, 82.68, 8.0, 34.982890, -97.520752, 1.0
09:07:24, 411, 54, 98372, 0.30, 193.80, 4.72, 82.73, 8.0, 34.982888, -97.520752, 0.9
09:07:25, 412, 55, 98358, 0.00, 69.20, 4.72, 82.78, 8.0, 34.982888, -97.520750, 1.0
09:07:26, 413, 56, 98348, 0.00, 355.60, 4.72, 82.84, 7.9, 34.982890, -97.520750, 0.9
09:07:27, 413, 56, 98342, 0.00, 229.10, 4.72, 82.89, 7.9, 34.982888, -97.520750, 0.9
09:07:28, 414, 57, 98332, 0.00, 179.40, 4.70, 82.91, 7.9, 34.982888, -97.520752, 0.9
09:07:29, 416, 59, 98310, 0.20, 170.80, 4.70, 82.94, 7.8, 34.982888, -97.520752, 0.9
09:07:30, 416, 59, 98308, 0.20, 156.60, 4.68, 83.00, 7.8, 34.982888, -97.520753, 0.9
09:07:31, 417, 60, 98302, 0.10, 107.80, 4.68, 83.02, 7.8, 34.982890, -97.520753, 0.8
09:07:32, 417, 60, 98296, 0.10, 151.50, 4.72, 83.05, 7.8, 34.982888, -97.520753, 0.7
09:07:33, 417, 60, 98292, 0.10, 186.50, 4.74, 83.11, 7.8, 34.982888, -97.520755, 0.7
09:07:34, 419, 62, 98274, 0.10, 139.00, 4.78, 83.11, 7.8, 34.982888, -97.520753, 0.8
09:07:35, 420, 63, 98264, 0.10, 146.40, 4.82, 83.11, 7.8, 34.982888, -97.520755, 0.8
09:07:36, 421, 64, 98254, 0.00, 179.30, 4.88, 83.09, 7.8, 34.982888, -97.520755, 0.8
09:07:37, 420, 63, 98260, 0.10, 182.40, 4.92, 83.06, 7.8, 34.982887, -97.520755, 0.7
09:07:38, 421, 64, 98244, 0.20, 188.00, 4.94, 83.02, 7.8, 34.982883, -97.520755, 0.7
09:07:39, 423, 66, 98228, 0.20, 172.70, 4.96, 82.97, 7.8, 34.982883, -97.520757, 0.8
09:07:40, 422, 65, 98234, 0.10, 78.40, 4.94, 82.88, 7.8, 34.982883, -97.520755, 0.7
09:07:41, 422, 65, 98234, 0.10, 91.20, 4.92, 82.80, 7.9, 34.982882, -97.520753, 0.6
09:07:42, 424, 67, 98210, 0.10, 105.60, 5.04, 82.76, 7.8, 34.982883, -97.520752, 0.7
09:07:43, 425, 68, 98204, 0.00, 257.80, 5.14, 82.72, 7.9, 34.982883, -97.520752, 0.7
09:07:44, 425, 68, 98200, 0.00, 91.20, 5.28, 82.59, 7.9, 34.982885, -97.520752, 0.7
09:07:45, 426, 69, 98194, 0.00, 74.70, 5.38, 82.50, 7.9, 34.982885, -97.520752, 0.7
09:07:46, 427, 70, 98178, 0.10, 197.70, 5.48, 82.33, 8.0, 34.982885, -97.520752, 0.7
09:07:47, 428, 71, 98172, 0.10, 197.70, 5.56, 82.06, 8.0, 34.982883, -97.520753, 0.7
09:07:48, 428, 71, 98166, 0.10, 173.20, 5.62, 81.80, 8.1, 34.982882, -97.520753, 0.6
09:07:49, 428, 71, 98162, 0.20, 158.40, 5.66, 81.62, 8.1, 34.982882, -97.520752, 0.6
09:07:50, 430, 73, 98142, 0.10, 148.60, 5.66, 81.34, 8.1, 34.982882, -97.520752, 0.8
09:07:51, 430, 73, 98148, 0.00, 286.70, 5.66, 81.07, 8.1, 34.982882, -97.520752, 0.6
09:07:52, 431, 74, 98128, 0.00, 328.50, 5.64, 80.88, 8.1, 34.982883, -97.520752, 0.7
09:07:53, 431, 74, 98130, 0.00, 61.60, 5.62, 80.68, 8.1, 34.982883, -97.520752, 0.7
09:07:54, 432, 75, 98124, 0.00, 102.20, 5.60, 80.45, 8.1, 34.982885, -97.520752, 0.7
09:07:55, 432, 75, 98122, 0.10, 120.00, 5.58, 80.27, 8.1, 34.982885, -97.520750, 0.6
09:07:56, 434, 77, 98100, 0.00, 152.90, 5.54, 80.16, 8.1, 34.982885, -97.520750, 0.7
09:07:57, 434, 77, 98096, 0.00, 144.50, 5.48, 80.05, 8.1, 34.982887, -97.520752, 0.7
09:07:58, 435, 78, 98090, 0.00, 79.60, 5.42, 79.94, 8.1, 34.982887, -97.520750, 0.7
09:07:59, 435, 78, 98082, 0.10, 88.10, 5.34, 79.89, 8.1, 34.982888, -97.520750, 0.6
09:08:00, 437, 80, 98066, 0.00, 139.70, 5.30, 79.83, 8.1, 34.982887, -97.520748, 0.7
09:08:01, 437, 80, 98062, 0.00, 110.40, 5.32, 79.83, 8.1, 34.982887, -97.520747, 0.7
09:08:02, 438, 81, 98052, 0.10, 199.10, 5.38, 79.81, 8.1, 34.982885, -97.520745, 0.6
09:08:03, 439, 82, 98042, 0.00, 179.70, 5.44, 79.82, 8.1, 34.982883, -97.520745, 0.8
09:08:04, 439, 82, 98036, 0.10, 249.20, 5.48, 79.79, 8.1, 34.982882, -97.520745, 0.7
09:08:05, 440, 83, 98024, 0.10, 274.60, 5.48, 79.74, 8.1, 34.982882, -97.520745, 0.7
09:08:06, 442, 85, 98004, 0.10, 314.80, 5.52, 79.69, 8.1, 34.982882, -97.520747, 0.9
09:08:07, 441, 84, 98010, 0.10, 329.10, 5.54, 79.61, 8.1, 34.982882, -97.520745, 0.8
09:08:08, 442, 85, 98006, 0.10, 106.30, 5.54, 79.56, 8.1, 34.982882, -97.520745, 0.7
09:08:09, 444, 87, 97982, 0.10, 161.00, 5.54, 79.47, 8.0, 34.982880, -97.520743, 0.8
09:08:10, 443, 86, 97990, 0.10, 154.40, 5.54, 79.40, 8.1, 34.982877, -97.520742, 0.7
09:08:11, 443, 86, 97990, 0.20, 151.00, 5.50, 79.34, 8.1, 34.982875, -97.520740, 0.7
09:08:12, 443, 86, 97988, 0.20, 166.80, 5.42, 79.28, 8.1, 34.982872, -97.520738, 0.6
09:08:13, 445, 88, 97970, 0.10, 196.50, 5.38, 79.28, 8.1, 34.982870, -97.520737, 0.7
09:08:14, 445, 88, 97968, 0.10, 183.90, 5.42, 79.25, 8.2, 34.982868, -97.520737, 0.6
09:08:15, 446, 89, 97952, 0.00, 12.40, 5.46, 79.29, 8.1, 34.982868, -97.520737, 0.6
09:08:16, 447, 90, 97940, 0.10, 350.50, 5.58, 79.27, 8.2, 34.982870, -97.520735, 0.7
09:08:17, 448, 91, 97932, 0.10, 10.90, 5.66, 79.25, 8.2, 34.982872, -97.520735, 0.6
09:08:18, 449, 92, 97918, 0.10, 59.40, 5.74, 79.15, 8.2, 34.982872, -97.520732, 0.6
09:08:19, 450, 93, 97906, 0.20, 67.40, 5.76, 79.04, 8.2, 34.982872, -97.520730, 0.7
09:08:20, 450, 93, 97904, 0.20, 80.00, 5.76, 78.91, 8.2, 34.982872, -97.520725, 0.7
09:08:21, 450, 93, 97908, 0.20, 90.80, 5.74, 78.77, 8.2, 34.982870, -97.520723, 0.5
09:08:22, 452, 95, 97888, 0.10, 106.10, 5.70, 78.66, 8.1, 34.982868, -97.520722, 0.7
09:08:23, 454, 97, 97866, 0.10, 127.90, 5.72, 78.57, 8.1, 34.982867, -97.520720, 0.9
09:08:24, 454, 97, 97858, 0.10, 146.40, 5.72, 78.51, 8.1, 34.982865, -97.520720, 0.9
09:08:25, 455, 98, 97850, 0.20, 233.60, 5.76, 78.44, 8.1, 34.982865, -97.520720, 0.9
09:08:26, 455, 98, 97848, 0.10, 201.50, 5.86, 78.34, 8.2, 34.982863, -97.520720, 0.8
09:08:27, 456, 99, 97844, 0.00, 123.70, 5.98, 78.21, 8.2, 34.982862, -97.520720, 0.8
09:08:28, 456, 99, 97840, 0.00, 109.90, 6.04, 78.08, 8.3, 34.982862, -97.520718, 0.7
09:08:29, 458, 101, 97818, 0.10, 106.20, 6.12, 77.93, 8.3, 34.982862, -97.520717, 0.8
09:08:30, 458, 101, 97810, 0.00, 84.90, 6.16, 77.78, 8.3, 34.982860, -97.520715, 0.8
09:08:31, 456, 99, 97834, 0.10, 351.10, 6.16, 77.57, 8.3, 34.982862, -97.520715, 0.5
09:08:32, 457, 100, 97822, 0.00, 189.90, 6.16, 77.35, 8.4, 34.982862, -97.520715, 0.6
09:08:33, 457, 100, 97830, 0.00, 212.80, 6.22, 77.14, 8.4, 34.982860, -97.520715, 0.6
09:08:34, 457, 100, 97824, 0.10, 170.60, 6.26, 76.99, 8.4, 34.982858, -97.520715, 0.5
09:08:35, 457, 100, 97824, 0.00, 204.40, 6.30, 76.80, 8.4, 34.982858, -97.520715, 0.3
09:08:36, 457, 100, 97830, 0.00, 179.30, 6.30, 76.58, 8.5, 34.982858, -97.520715, 0.2
09:08:37, 457, 100, 97824, 0.00, 102.20, 6.26, 76.40, 8.4, 34.982858, -97.520715, 0.2
09:08:38, 458, 101, 97814, 0.00, 260.90, 6.20, 76.24, 8.4, 34.982858, -97.520715, 0.2
09:08:39, 457, 100, 97826, 0.00, 141.50, 6.16, 76.14, 8.4, 34.982858, -97.520715, 0.1
09:08:40, 458, 101, 97820, 0.00, 192.90, 6.18, 76.03, 8.4, 34.982858, -97.520715, 0.1
09:08:41, 457, 100, 97824, 0.00, 3.70, 6.22, 75.95, 8.4, 34.982858, -97.520715, -0.0
09:08:42, 458, 101, 97812, 0.00, 359.40, 6.22, 75.85, 8.4, 34.982860, -97.520713, -0.0
09:08:43, 458, 101, 97814, 0.00, 338.90, 6.24, 75.74, 8.4, 34.982860, -97.520715, 0.1
09:08:44, 458, 101, 97818, 0.00, 339.90, 6.24, 75.67, 8.5, 34.982860, -97.520715, 0.1
09:08:45, 458, 101, 97820, 0.00, 189.20, 6.18, 75.56, 8.4, 34.982860, -97.520715, 0.1
09:08:46, 457, 100, 97826, 0.00, 190.00, 6.10, 75.48, 8.4, 34.982860, -97.520717, -0.0
09:08:47, 456, 99, 97836, 0.00, 173.00, 5.98, 75.45, 8.4, 34.982858, -97.520715, -0.1
09:08:48, 456, 99, 97844, 0.00, 180.40, 5.98, 75.48, 8.4, 34.982857, -97.520715, -0.1
09:08:49, 455, 98, 97846, 0.00, 203.00, 5.98, 75.44, 8.4, 34.982857, -97.520717, -0.2
09:08:50, 455, 98, 97854, 0.00, 161.50, 5.98, 75.49, 8.4, 34.982857, -97.520715, -0.3
09:08:51, 454, 97, 97856, 0.00, 115.90, 5.98, 75.51, 8.4, 34.982857, -97.520715, -0.2
09:08:52, 455, 98, 97850, 0.00, 89.70, 5.94, 75.57, 8.3, 34.982858, -97.520713, -0.2
