FileType,NCAR GAUS raw and derived sounding data
FileFormat,CSV
SondeType,Vaisala RS92-SGP,PTU Block >>>,,,,,,,,,,,,,,,,,,,,,,GPS Block >>>
Labels,Data Date & Time (UTC),PTU Time (sec),Sonde PTU (elapsed sec),Pressure (mb),Air Temp (C),Relative Humidity 1 (%),Relative Humidity 2 (%),Best RH (1 or 2) (%),Dewpoint (C),Mixing Ratio (g/Kg),Virtual Temp (C),Water Vapor Press (mb),Potential Temp (K),Equiv Potential Temp (K),Geopotential Altitude (m),Vertical Velocity (m/s),Frame Count,Sonde ID,Data Type,CRC Type,Sonde Status,Battery Volts,Bit error flag (0-1),Wind Time (sec),Sonde Winds (elapsed sec),Wind Direction (deg),Wind Speed (m/s),U Wind (m/s),V Wind (m/s),Vertical Velocity (m/s),Longitude (deg),Latitude (deg),Altitude (m),Lon Offset (m),Lat Offset (m),Alt Offset (m),Range (m),Azimuth Angle (deg),Elevation Angle (deg),Sat's used in solution,Sat's tracked by sonde,Velocity error estimate,Position error estimate,RS92-SGP Time,RS92-SGP Status,RS92-SGP GPS Week,RS92-SGP GPS Seconds,RS92-SGP GPS HDOP (0-99),RS92-SGP GPS VDOP (0-99),Bit error flag (0-1)
Data,2016-06-06 19:10:01.374Z,5.999164,147,971.974854,28.736322,34.250576,20.155735,34.250576,11.452407,8.772331,30.34686,13.477162,304.350555,327.176327,353.218392,1.626642,147,161914200,32813,45,1039,0,0,5.999164,147,36.401611,0.235405,-0.189472,-0.139699,-0.026113,-97.520731,34.982703,323.955494,-0.849128,-2.058151,-29.044506,2.173172,198.724583,-85.720981,5,5,3.9,0,0,0,876,155418.74,3.9,2.2,0
Data,2016-06-06 19:10:02.374Z,6.999164,148,971.933228,28.636743,33.964516,21.723927,33.964516,11.238511,8.647561,30.223605,13.285493,304.25389,326.743843,353.59878,0.380388,148,161914200,32813,45,1039,0,0,6.999164,148,239.160963,0.061157,0.031351,0.05251,-0.095488,-97.520728,34.982706,322.440532,-0.528578,-1.719354,-30.559468,1.77354,194.199543,-86.678524,5,5,3.9,0,0,0,876,155419.74,3.9,2.2,0
Data,2016-06-06 19:10:03.374Z,7.999164,149,972.179382,28.445276,34.933399,23.810537,34.933399,11.495094,8.795623,30.057818,13.509385,304.038837,326.926871,351.350665,-2.248115,149,161914200,32813,45,1039,0,0,7.999164,149,61.120822,0.631894,-0.305182,-0.553312,0.82599,-97.520722,34.982699,321.892426,0.134259,-2.543845,-31.107574,2.543845,177.862732,-85.324998,5,6,3.9,0,0,0,876,155420.74,3.9,2.2,0
Data,2016-06-06 19:10:04.374Z,8.999164,150,972.169067,28.845209,36.420601,26.840353,36.420601,12.48006,9.394637,30.570918,14.424375,304.442934,328.949781,351.444913,0.094248,150,161914200,32813,45,1039,0,0,8.999164,150,238.993018,0.510645,0.263055,0.437676,-1.006359,-97.520707,34.982696,320.460654,1.833508,-2.863842,-32.539346,3.233385,152.33906,-84.325235,5,6,3.9,0,0,0,876,155421.76,3.9,2.2,0
Data,2016-06-06 19:10:05.374Z,9.999164,151,972.188782,29.434381,38.269875,29.204239,38.269875,13.760096,10.227384,31.318673,15.698636,305.035112,331.804819,351.264409,-0.180504,151,161914200,32813,45,1039,0,0,9.999164,151,266.719762,0.303792,0.017383,0.303295,-0.399403,-97.520753,34.982683,324.356846,-3.28729,-4.323473,-28.643154,5.093001,211.923233,-79.917686,5,6,3.9,0,0,0,876,155422.76,3.9,2.2,0
Data,2016-06-06 19:10:06.374Z,10.999164,152,972.028687,28.830499,35.464695,28.563307,35.464695,12.062691,9.137862,30.508921,14.033476,304.440679,328.253202,352.730196,1.465787,152,161914200,32813,45,1039,0,0,10.999164,152,194.857858,0.024048,0.023244,0.006166,0.252016,-97.520736,34.982689,325.472967,-1.464593,-3.587505,-27.527033,3.783151,198.506989,-82.174634,5,6,3.9,0,0,0,876,155423.76,3.9,2.2,0
Data,2016-06-06 19:10:07.374Z,11.999164,153,972.052917,28.974176,36.310001,30.175676,36.310001,12.547641,9.438187,30.708996,14.491569,304.583354,329.208707,352.508551,-0.221645,153,161914200,32813,45,1039,0,0,11.999164,153,60.025471,0.41683,-0.208255,-0.361078,0.017915,-97.520705,34.982708,325.683686,2.04056,-1.557057,-27.316314,2.284376,132.969694,-85.219659,5,7,3.9,0,0,0,876,155424.76,3.9,2.2,0
Data,2016-06-06 19:10:08.374Z,12.999164,154,972.119385,28.53692,32.68922,27.873177,32.68922,10.575536,8.268155,30.05343,12.710779,304.136592,325.604878,351.901047,-0.607504,154,161914200,32813,45,1039,0,0,12.999164,154,216.951837,0.226412,0.180935,0.136106,0.391965,-97.520817,34.982693,341.443821,-10.389252,-3.234778,-11.556179,9.105888,249.191829,-51.763055,6,6,2.1,0,0,0,876,155425.76,2.1,1.6,0
Data,2016-06-06 19:10:09.374Z,13.999164,155,972.022095,28.729822,36.299393,31.952244,36.299393,12.327402,9.300906,30.437344,14.277811,304.339771,328.594032,352.789884,0.888837,155,161914200,32813,45,1039,0,0,13.999164,155,310.141676,0.196578,-0.12673,0.150274,-0.489329,-97.520806,34.982702,339.541904,-9.143422,-2.236531,-13.458096,7.818209,253.377368,-59.846419,6,6,2.1,0,0,0,876,155426.76,2.1,1.6,0
Data,2016-06-06 19:10:10.374Z,14.999164,156,972.131287,28.497491,34.472267,30.289127,34.472267,11.340271,8.705101,30.093838,13.372621,304.095778,326.739875,351.792252,-0.997632,156,161914200,32813,45,1039,0,0,14.999164,156,219.280611,0.250124,0.19361,0.158358,0.004147,-97.520804,34.982692,337.709458,-9.015369,-3.329515,-15.290542,8.102394,245.736746,-62.081071,6,6,2.1,0,0,0,876,155427.76,2.1,1.6,0
Data,2016-06-06 19:10:11.374Z,15.999164,157,972.018005,28.8388,36.343647,32.988739,36.343647,12.442191,9.372429,30.560375,14.388398,304.450004,328.89776,352.827458,1.035206,157,161914200,32813,45,1039,0,0,15.999164,157,63.019454,0.415934,-0.188704,-0.370664,0.258859,-97.520788,34.982706,335.929591,-7.158032,-1.708838,-17.070409,6.108415,253.754629,-70.310937,6,6,2.1,0,0,0,876,155428.76,2.1,1.6,0
