Local time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
15:15:12, 385, 28, 96354, 0.00, 243.20, 10.58, 74.47, 12.8, 34.982875, -97.520783, 0.0
15:15:13, 386, 29, 96342, 0.00, 260.10, 10.58, 74.36, 12.8, 34.982875, -97.520787, 0.1
15:15:14, 387, 30, 96332, 0.00, 335.20, 10.60, 74.25, 12.8, 34.982878, -97.520788, 0.2
15:15:15, 389, 32, 96308, 0.00, 339.00, 10.60, 74.15, 12.8, 34.982882, -97.520790, 0.3
15:15:16, 390, 33, 96298, 0.10, 325.70, 10.58, 74.04, 12.8, 34.982885, -97.520795, 0.3
15:15:17, 391, 34, 96284, 0.20, 309.70, 10.56, 73.94, 12.9, 34.982888, -97.520800, 0.5
15:15:18, 391, 34, 96278, 0.60, 327.10, 10.56, 73.86, 12.9, 34.982893, -97.520802, 0.6
15:15:19, 392, 35, 96268, 0.50, 310.50, 10.56, 73.80, 12.9, 34.982897, -97.520805, 0.6
15:15:20, 392, 35, 96268, 0.40, 313.10, 10.56, 73.76, 13.0, 34.982900, -97.520808, 0.6
15:15:21, 393, 36, 96258, 0.40, 292.70, 10.56, 73.73, 13.0, 34.982902, -97.520810, 0.6
15:15:22, 394, 37, 96248, 0.40, 310.40, 10.54, 73.68, 13.1, 34.982903, -97.520813, 0.8
15:15:23, 395, 38, 96232, 0.40, 315.40, 10.54, 73.65, 13.1, 34.982905, -97.520813, 0.9
15:15:24, 396, 39, 96230, 0.40, 321.30, 10.54, 73.60, 13.1, 34.982908, -97.520817, 0.9
15:15:25, 396, 39, 96222, 0.40, 321.00, 10.54, 73.60, 13.1, 34.982910, -97.520818, 0.9
15:15:26, 396, 39, 96220, 0.20, 308.00, 10.54, 73.55, 13.1, 34.982912, -97.520818, 0.8
15:15:27, 396, 39, 96222, 0.10, 304.60, 10.54, 73.55, 13.2, 34.982908, -97.520817, 0.6
15:15:28, 396, 39, 96220, 0.00, 291.80, 10.54, 73.52, 13.2, 34.982908, -97.520817, 0.6
15:15:29, 397, 40, 96218, 0.00, 182.50, 10.54, 73.49, 13.2, 34.982907, -97.520813, 0.5
15:15:30, 396, 39, 96230, 0.00, 200.10, 10.54, 73.49, 13.2, 34.982903, -97.520813, 0.3
15:15:31, 396, 39, 96226, 0.00, 208.60, 10.54, 73.47, 13.2, 34.982900, -97.520813, 0.3
