Local time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
14:30:35, 391, 34, 96318, 0.10, 324.60, 10.14, 75.63, 11.3, 34.982833, -97.520812, 0.5
14:30:36, 392, 35, 96306, 0.20, 316.20, 10.14, 75.61, 11.3, 34.982835, -97.520812, 0.5
14:30:37, 393, 36, 96296, 0.10, 284.60, 10.14, 75.55, 11.3, 34.982835, -97.520813, 0.5
14:30:38, 393, 36, 96296, 0.10, 286.10, 10.14, 75.53, 11.3, 34.982837, -97.520815, 0.4
14:30:39, 394, 37, 96282, 0.10, 275.40, 10.14, 75.48, 11.3, 34.982837, -97.520817, 0.5
14:30:40, 396, 39, 96266, 0.00, 294.20, 10.16, 75.42, 11.3, 34.982837, -97.520818, 0.7
14:30:41, 397, 40, 96248, 0.00, 295.60, 10.16, 75.40, 11.3, 34.982837, -97.520820, 0.8
14:30:42, 397, 40, 96250, 0.00, 22.60, 10.16, 75.37, 11.3, 34.982837, -97.520820, 0.8
14:30:43, 397, 40, 96254, 0.00, 93.80, 10.16, 75.32, 11.4, 34.982837, -97.520820, 0.7
14:30:44, 396, 39, 96264, 0.00, 92.10, 10.16, 75.29, 11.4, 34.982837, -97.520818, 0.6
14:30:45, 397, 40, 96252, 0.00, 33.60, 10.16, 75.27, 11.4, 34.982837, -97.520818, 0.6
14:30:46, 396, 39, 96260, 0.00, 166.60, 10.18, 75.22, 11.4, 34.982837, -97.520815, 0.4
14:30:47, 397, 40, 96248, 0.00, 221.50, 10.18, 75.19, 11.4, 34.982835, -97.520815, 0.5
14:30:48, 397, 40, 96250, 0.00, 269.90, 10.18, 75.16, 11.4, 34.982835, -97.520815, 0.4
14:30:49, 399, 42, 96234, 0.30, 281.90, 10.18, 75.11, 11.4, 34.982835, -97.520820, 0.4
14:30:50, 398, 41, 96236, 0.30, 293.70, 10.18, 75.11, 11.4, 34.982837, -97.520822, 0.4
14:30:51, 400, 43, 96214, 0.20, 303.10, 10.20, 75.06, 11.4, 34.982838, -97.520820, 0.5
14:30:52, 401, 44, 96206, 0.20, 317.30, 10.20, 75.03, 11.5, 34.982840, -97.520817, 0.5
14:30:53, 401, 44, 96202, 0.10, 289.10, 10.22, 75.00, 11.5, 34.982840, -97.520813, 0.3
14:30:54, 402, 45, 96192, 0.10, 312.90, 10.22, 74.98, 11.5, 34.982842, -97.520812, 0.4
14:30:55, 402, 45, 96192, 0.30, 323.10, 10.22, 74.95, 11.5, 34.982843, -97.520812, 0.4
14:30:56, 404, 47, 96168, 0.30, 310.90, 10.22, 74.90, 11.5, 34.982845, -97.520812, 0.7
