Co2 Data from 2017/3/29 12:30:50
Sensor is K30 FR from Co2meter.com, In Blue Box

Time(Unix)	Co2(ppm)
1490791133	401
1490791134	401
1490791135	401
1490791136	401
1490791137	400
1490791138	400
1490791139	400
1490791140	400
1490791141	400
1490791142	400
1490791143	400
1490791145	401
1490791146	401
1490791147	401
1490791148	400
1490791149	401
1490791150	401
1490791151	401
1490791152	400
1490791153	400
1490791154	400
1490791155	400
1490791156	400
1490791157	400
1490791159	400
1490791160	400
1490791161	400
1490791162	400
1490791163	399
1490791164	400
1490791165	400
1490791166	400
1490791167	400
1490791168	400
1490791169	400
1490791171	400
1490791172	399
1490791173	399
1490791174	400
1490791175	400
1490791176	400
1490791177	400
1490791178	400
1490791179	400
1490791180	400
1490791181	400
1490791182	400
1490791184	400
1490791185	400
1490791186	400
1490791187	400
1490791188	401
1490791189	401
1490791190	400
1490791191	400
1490791192	400
1490791193	400
1490791194	400
1490791195	399
1490791196	399
1490791197	400
1490791199	400
1490791200	399
1490791201	399
1490791202	400
1490791203	400
1490791204	400
1490791205	400
1490791206	400
1490791207	401
1490791208	401
1490791209	400
1490791210	400
1490791211	400
1490791213	400
1490791214	400
1490791215	400
1490791216	400
1490791217	400
1490791218	400
1490791219	400
1490791220	400
1490791221	400
1490791222	400
1490791223	400
1490791224	400
1490791226	400
1490791227	400
1490791228	400
1490791229	400
1490791230	400
1490791231	400
1490791232	400
1490791233	400
1490791234	400
1490791235	400
1490791236	400
1490791237	400
1490791239	400
1490791240	399
1490791241	398
1490791242	398
1490791243	398
1490791244	398
1490791245	398
1490791246	399
1490791247	399
1490791248	398
1490791249	398
1490791250	399
1490791251	399
1490791253	399
1490791254	399
1490791255	398
1490791256	398
1490791257	398
1490791258	397
1490791259	397
1490791260	398
1490791261	398
1490791262	398
1490791263	397
1490791264	398
1490791266	398
1490791267	398
1490791268	398
1490791269	398
1490791270	398
1490791271	398
1490791272	398
1490791273	398
1490791274	398
1490791275	398
1490791276	398
1490791277	398
1490791279	398
1490791280	398
1490791281	398
1490791282	398
1490791283	398
1490791284	398
1490791285	398
1490791286	398
1490791287	398
1490791288	398
1490791289	398
1490791290	398
1490791291	398
1490791292	398
1490791294	398
1490791295	398
1490791296	398
1490791297	399
1490791298	398
1490791299	398
1490791300	398
1490791301	398
1490791302	398
1490791303	398
1490791304	398
1490791305	398
1490791307	398
1490791308	398
1490791309	398
1490791310	398
1490791311	399
1490791312	399
1490791313	398
1490791314	398
1490791315	399
1490791316	399
1490791317	399
1490791318	398
1490791320	399
1490791321	399
1490791322	399
1490791323	399
1490791324	400
1490791325	400
1490791326	400
1490791327	400
1490791328	400
1490791329	400
1490791330	400
1490791331	400
1490791332	399
1490791334	399
1490791335	399
1490791336	399
1490791337	398
1490791338	399
1490791339	399
1490791340	399
1490791341	398
1490791342	398
1490791343	398
1490791344	399
1490791345	398
1490791346	398
1490791347	398
1490791349	398
1490791350	398
1490791351	398
1490791352	397
1490791353	398
1490791354	398
1490791355	397
1490791356	397
1490791357	397
1490791358	397
1490791359	397
1490791360	397
1490791361	397
1490791363	397
1490791364	397
1490791365	396
1490791366	396
1490791367	396
1490791368	397
1490791369	397
1490791370	397
1490791371	397
1490791372	398
1490791373	397
1490791374	397
1490791376	397
1490791377	397
1490791378	397
1490791379	397
1490791380	397
1490791381	397
1490791382	397
1490791383	397
1490791384	397
1490791385	397
1490791386	397
1490791387	397
1490791389	397
1490791390	397
1490791391	398
1490791392	397
1490791393	396
1490791394	396
1490791395	396
1490791396	396
1490791397	396
1490791398	397
1490791399	397
1490791400	397
1490791402	397
1490791403	397
1490791404	397
1490791405	397
1490791406	396
1490791407	397
1490791408	397
1490791409	397
1490791410	397
1490791411	397
1490791412	398
1490791413	398
1490791414	398
1490791416	398
1490791417	398
1490791418	398
1490791419	398
1490791420	398
1490791421	398
1490791422	398
1490791423	398
1490791424	398
1490791425	398
1490791426	398
1490791428	398
1490791429	398
1490791430	399
1490791431	398
1490791432	398
1490791433	398
1490791434	398
1490791435	398
1490791436	398
1490791437	398
1490791438	397
1490791439	397
1490791441	397
1490791442	397
1490791443	397
1490791444	398
1490791445	398
1490791446	398
1490791447	398
1490791448	399
1490791449	398
1490791450	398
1490791451	397
1490791452	397
1490791453	397
1490791455	396
1490791456	396
1490791457	397
1490791458	397
1490791459	397
1490791460	397
1490791461	396
1490791462	396
1490791463	396
1490791464	396
1490791465	396
1490791466	396
1490791467	397
1490791469	396
1490791470	396
1490791471	396
1490791472	397
1490791473	397
1490791474	397
1490791475	396
1490791476	396
1490791477	397
1490791478	396
1490791479	396
1490791480	396
1490791481	396
1490791483	396
1490791484	396
1490791485	396
1490791486	396
1490791487	396
1490791488	396
1490791489	396
1490791490	396
1490791491	396
1490791492	397
1490791493	396
1490791494	396
1490791495	396
1490791497	396
1490791498	397
1490791499	396
1490791500	396
1490791501	396
1490791502	397
1490791503	397
1490791504	396
1490791505	396
1490791506	396
1490791507	397
1490791508	397
1490791510	397
1490791511	397
1490791512	397
1490791513	397
1490791514	397
1490791515	397
1490791516	397
1490791517	397
1490791518	397
1490791519	397
1490791520	396
1490791521	396
1490791522	397
1490791524	397
1490791525	397
1490791526	397
1490791527	397
1490791528	397
1490791529	397
1490791530	397
1490791531	397
1490791532	397
1490791533	397
1490791534	397
1490791535	397
1490791537	397
1490791538	397
1490791539	397
1490791540	397
1490791541	397
1490791542	397
1490791543	397
1490791544	397
1490791545	397
1490791546	397
1490791547	397
1490791548	397
1490791550	397
1490791551	397
1490791552	397
1490791553	397
1490791554	397
1490791555	397
1490791556	397
1490791557	397
1490791558	397
1490791559	397
1490791560	397
1490791561	396
1490791563	396
1490791564	397
1490791565	397
1490791566	397
1490791567	396
1490791568	396
1490791569	397
1490791570	397
1490791571	396
1490791572	396
1490791573	396
1490791574	396
1490791575	396
1490791577	396
1490791578	396
1490791579	396
1490791580	397
1490791581	397
1490791582	397
1490791583	397
1490791584	397
1490791585	397
1490791586	397
1490791587	396
1490791588	396
1490791590	397
1490791591	397
1490791592	397
1490791593	397
1490791594	397
1490791595	397
1490791596	397
1490791597	397
1490791598	397
1490791599	397
1490791600	397
1490791601	397
1490791602	397
1490791604	397
1490791605	397
1490791606	397
1490791607	397
1490791608	397
1490791609	397
1490791610	397
1490791611	397
1490791612	397
1490791613	397
1490791614	397
1490791615	397
1490791616	397
1490791618	397
1490791619	397
1490791620	397
1490791621	397
1490791622	397
1490791623	397
1490791624	397
1490791625	397
1490791626	397
1490791627	397
1490791628	397
1490791629	396
1490791630	397
1490791631	397
1490791633	396
1490791634	396
1490791635	396
1490791636	396
1490791637	396
1490791638	396
1490791639	396
1490791640	396
1490791641	396
1490791642	396
1490791643	396
1490791644	396
1490791646	396
1490791647	396
1490791648	396
1490791649	396
1490791650	396
1490791651	397
1490791652	396
1490791653	396
1490791654	396
1490791655	396
1490791656	396
1490791657	396
1490791659	396
1490791660	396
1490791661	396
1490791662	396
1490791663	396
1490791664	396
1490791665	396
1490791666	396
1490791667	396
1490791668	396
1490791669	396
1490791670	396
1490791671	396
1490791672	396
1490791674	396
1490791675	396
1490791676	395
1490791677	395
1490791678	395
1490791679	396
1490791680	395
1490791681	395
1490791682	396
1490791683	396
1490791684	396
1490791685	396
1490791687	396
1490791688	396
1490791689	396
1490791690	396
1490791691	396
1490791692	396
1490791693	396
1490791694	396
1490791695	395
1490791696	395
1490791697	395
1490791699	396
1490791700	396
1490791701	396
1490791702	396
1490791703	396
1490791704	396
1490791705	396
1490791706	396
1490791707	396
1490791708	396
1490791709	396
1490791710	396
1490791711	396
1490791713	396
1490791714	396
1490791715	397
1490791716	397
1490791717	396
1490791718	395
1490791719	395
1490791720	395
1490791721	395
1490791722	394
1490791723	394
1490791724	394
1490791725	395
1490791727	395
1490791728	395
1490791729	395
1490791730	395
1490791731	395
1490791732	395
1490791733	395
1490791734	395
1490791735	395
1490791736	395
1490791737	395
1490791738	395
1490791740	395
1490791741	394
1490791742	395
1490791743	395
1490791744	395
1490791745	395
1490791746	395
1490791747	395
1490791748	395
1490791749	395
1490791750	395
1490791751	395
1490791752	395
1490791754	395
1490791755	395
1490791756	395
1490791757	395
1490791758	395
1490791759	395
1490791760	395
1490791761	395
1490791762	396
1490791763	396
1490791764	395
1490791765	395
1490791766	395
1490791768	396
1490791769	396
1490791770	396
1490791771	396
1490791772	396
1490791773	397
1490791774	396
1490791775	395
1490791776	395
1490791777	396
1490791778	396
1490791779	396
1490791781	395
1490791782	395
1490791783	396
1490791784	396
1490791785	396
1490791786	395
1490791787	396
1490791788	396
1490791789	396
1490791790	396
1490791791	396
1490791792	396
1490791793	396
1490791794	396
1490791796	396
1490791797	396
1490791798	396
1490791799	396
1490791800	396
1490791801	396
1490791802	396
1490791803	396
1490791804	397
1490791805	398
1490791806	398
1490791807	399
1490791809	400
1490791810	401
1490791811	403
1490791812	404
1490791813	406
1490791814	408
1490791815	410
1490791816	411
1490791817	414
1490791818	414
1490791819	416
1490791820	417
1490791822	419
1490791823	419
1490791824	420
1490791825	422
1490791826	423
1490791827	423
1490791828	423
1490791829	424
1490791830	424
1490791831	425
1490791832	426
1490791833	426
1490791835	426
1490791836	427
1490791837	427
1490791838	428
1490791839	428
1490791840	428
1490791841	429
1490791842	429
1490791843	429
1490791844	429
1490791845	429
1490791846	430
1490791847	430
1490791849	430
1490791850	430
1490791851	430
1490791852	430
1490791853	430
1490791854	430
1490791855	430
1490791856	429
1490791857	429
1490791858	429
1490791859	429
1490791860	428
1490791862	428
1490791863	429
1490791864	428
1490791865	428
1490791866	428
1490791867	428
1490791868	431
1490791869	433
1490791870	436
1490791871	438
1490791872	440
1490791873	443
1490791875	446
1490791876	447
1490791877	448
1490791878	449
1490791879	451
1490791880	452
1490791881	453
1490791882	454
1490791883	456
1490791884	457
1490791885	458
1490791886	457
1490791887	458
1490791888	459
1490791890	459
1490791891	459
1490791892	459
1490791893	459
1490791894	460
1490791895	460
1490791896	460
1490791897	460
1490791898	460
1490791899	461
1490791900	461
1490791901	460
1490791902	461
1490791904	461
1490791905	461
1490791906	460
1490791907	459
1490791908	458
1490791909	457
1490791910	454
1490791911	452
1490791912	450
1490791913	449
1490791914	449
1490791915	447
1490791916	446
1490791918	445
1490791919	444
1490791920	444
1490791921	442
1490791922	440
1490791923	439
1490791924	439
1490791925	438
1490791926	437
1490791927	436
1490791928	436
1490791929	436
1490791931	436
1490791932	436
1490791933	436
1490791934	436
1490791935	435
1490791936	434
1490791937	433
1490791938	432
1490791939	432
1490791940	431
1490791941	429
1490791942	428
1490791943	428
1490791945	427
1490791946	426
1490791947	424
1490791948	423
1490791949	423
1490791950	422
1490791951	421
1490791952	420
1490791953	419
1490791954	419
1490791955	419
1490791956	419
1490791958	418
1490791959	418
1490791960	419
1490791961	419
1490791962	418
1490791963	418
1490791964	418
1490791965	419
1490791966	419
1490791967	419
1490791968	419
1490791969	419
1490791970	419
1490791972	419
1490791973	419
1490791974	419
1490791975	420
1490791976	420
1490791977	420
1490791978	420
1490791979	420
1490791980	421
1490791981	421
1490791982	421
1490791983	420
1490791984	420
1490791986	421
1490791987	421
1490791988	421
1490791989	421
1490791990	421
1490791991	422
1490791992	422
1490791993	421
1490791994	421
1490791995	422
1490791996	422
1490791997	421
1490791999	421
1490792000	422
1490792001	422
1490792002	422
1490792003	422
1490792004	423
1490792005	423
1490792006	423
1490792007	424
1490792008	424
1490792009	424
1490792010	425
1490792011	427
1490792013	428
1490792014	428
1490792015	428
1490792016	430
1490792017	431
1490792018	431
1490792019	433
1490792020	436
1490792021	438
1490792022	440
1490792023	440
1490792024	441
1490792025	442
1490792027	443
1490792028	443
1490792029	442
1490792030	443
1490792031	443
1490792032	443
1490792033	442
1490792034	442
1490792035	442
1490792036	442
1490792037	441
1490792038	441
1490792039	441
1490792041	441
1490792042	441
1490792043	441
1490792044	442
1490792045	443
1490792046	443
1490792047	443
1490792048	443
1490792049	443
1490792050	444
1490792051	444
1490792052	443
1490792053	443
1490792055	443
1490792056	443
1490792057	443
1490792058	443
1490792059	443
1490792060	444
1490792061	444
1490792062	444
1490792063	443
1490792064	444
1490792065	443
1490792066	442
1490792068	441
1490792069	441
1490792070	441
1490792071	441
1490792072	440
1490792073	439
1490792074	439
1490792075	439
1490792076	438
1490792077	438
1490792078	437
1490792079	438
1490792081	438
1490792082	438
1490792083	438
1490792084	438
1490792085	438
1490792086	438
1490792087	438
1490792088	438
1490792089	439
1490792090	440
1490792091	441
1490792092	441
1490792093	441
1490792095	441
1490792096	441
1490792097	440
1490792098	439
1490792099	438
1490792100	438
1490792101	437
1490792102	437
1490792103	436
1490792104	435
1490792105	435
1490792106	435
1490792107	434
1490792109	434
1490792110	435
1490792111	435
1490792112	435
1490792113	435
1490792114	435
1490792115	436
1490792116	436
1490792117	437
1490792118	438
1490792119	440
1490792120	441
1490792122	442
1490792123	442
1490792124	444
1490792125	446
1490792126	447
1490792127	448
1490792128	448
1490792129	449
1490792130	451
1490792131	451
1490792132	452
1490792133	453
1490792135	455
1490792136	455
1490792137	454
1490792138	454
1490792139	454
1490792140	454
1490792141	452
1490792142	451
1490792143	450
1490792144	450
1490792145	450
1490792146	449
1490792148	447
1490792149	447
1490792150	447
1490792151	446
1490792152	445
1490792153	444
1490792154	443
1490792155	443
1490792156	442
1490792157	441
1490792158	440
1490792159	439
1490792160	438
1490792162	438
1490792163	437
1490792164	436
1490792165	436
1490792166	436
1490792167	435
1490792168	434
1490792169	433
1490792170	432
1490792171	432
1490792172	432
1490792173	430
1490792174	430
1490792176	429
1490792177	429
1490792178	428
1490792179	427
1490792180	427
1490792181	426
1490792182	427
1490792183	426
1490792184	425
1490792185	425
1490792186	425
1490792187	425
1490792188	425
1490792190	423
1490792191	423
1490792192	422
1490792193	422
1490792194	422
1490792195	421
1490792196	421
1490792197	421
1490792198	420
1490792199	420
1490792200	419
1490792201	419
1490792203	418
1490792204	418
1490792205	418
1490792206	417
1490792207	417
1490792208	417
1490792209	417
1490792210	417
1490792211	416
1490792212	415
1490792213	416
1490792214	416
1490792215	415
1490792217	415
1490792218	415
1490792219	415
1490792220	415
1490792221	414
1490792222	414
1490792223	414
1490792224	414
1490792225	414
1490792226	413
1490792227	413
1490792228	413
1490792229	413
1490792231	412
1490792232	412
1490792233	412
1490792234	412
1490792235	411
1490792236	411
1490792237	411
1490792238	411
1490792239	410
1490792240	409
1490792241	408
1490792243	409
1490792244	409
1490792245	408
1490792246	407
1490792247	407
1490792248	407
1490792249	407
1490792250	407
1490792251	406
1490792252	406
1490792253	406
1490792254	406
1490792256	406
1490792257	406
1490792258	406
1490792259	406
1490792260	406
1490792261	406
1490792262	406
1490792263	406
1490792264	406
1490792265	406
1490792266	406
1490792267	407
1490792269	406
1490792270	406
1490792271	406
1490792272	406
1490792273	406
1490792274	406
1490792275	406
1490792276	406
1490792277	406
1490792278	405
1490792279	404
1490792280	405
1490792281	405
1490792283	404
1490792284	404
1490792285	404
1490792286	404
1490792287	404
1490792288	404
1490792289	404
1490792290	404
1490792291	404
1490792292	404
1490792293	403
1490792294	404
1490792296	403
1490792297	403
1490792298	403
1490792299	403
1490792300	403
1490792301	403
1490792302	403
1490792303	403
1490792304	402
1490792305	402
1490792306	402
1490792307	402
1490792308	402
1490792310	402
1490792311	402
1490792312	402
1490792313	402
1490792314	402
1490792315	402
1490792316	402
1490792317	402
1490792318	402
1490792319	402
1490792320	402
1490792321	402
1490792322	402
1490792324	402
1490792325	402
1490792326	402
1490792327	402
1490792328	402
1490792329	402
1490792330	402
1490792331	402
1490792332	402
1490792333	402
1490792334	402
1490792335	401
1490792336	402
1490792337	402
1490792339	402
1490792340	402
1490792341	401
1490792342	402
1490792343	402
1490792344	401
1490792345	401
1490792346	403
1490792347	403
1490792348	402
1490792349	402
1490792350	402
1490792352	402
1490792353	402
1490792354	401
1490792355	402
1490792356	403
1490792357	403
1490792358	403
1490792359	403
1490792360	403
1490792361	403
1490792362	403
1490792363	403
1490792365	403
1490792366	404
1490792367	404
1490792368	403
1490792369	403
1490792370	404
1490792371	404
1490792372	404
1490792373	403
1490792374	403
1490792375	403
1490792376	403
1490792377	403
1490792379	403
1490792380	404
1490792381	404
1490792382	403
1490792383	403
1490792384	403
1490792385	403
1490792386	403
1490792387	403
1490792388	403
1490792389	403
1490792390	403
1490792392	403
1490792393	403
1490792394	403
1490792395	403
1490792396	403
1490792397	403
1490792398	403
1490792399	403
1490792400	403
1490792401	403
1490792402	403
1490792403	403
1490792405	403
1490792406	403
1490792407	403
1490792408	403
1490792409	403
1490792410	403
1490792411	403
1490792412	403
1490792413	403
1490792414	403
1490792415	403
1490792416	403
1490792418	403
1490792419	403
1490792420	403
1490792421	403
1490792422	403
1490792423	403
1490792424	403
1490792425	403
1490792426	403
1490792427	403
1490792428	403
1490792429	403
1490792430	403
1490792432	403
1490792433	403
1490792434	404
1490792435	403
1490792436	403
1490792437	403
1490792438	403
1490792439	403
1490792440	403
1490792441	403
1490792442	403
1490792443	403
1490792444	403
1490792446	403
1490792447	403
1490792448	403
1490792449	404
1490792450	404
1490792451	403
1490792452	404
1490792453	404
1490792454	404
1490792455	404
1490792456	404
1490792457	404
1490792458	404
1490792460	404
1490792461	404
1490792462	404
1490792463	403
1490792464	404
1490792465	404
1490792466	403
1490792467	403
1490792468	403
1490792469	403
1490792470	403
1490792471	403
1490792472	403
1490792474	403
1490792475	403
1490792476	403
1490792477	403
1490792478	403
1490792479	404
1490792480	404
1490792481	403
1490792482	403
1490792483	403
1490792484	404
1490792485	404
1490792487	404
1490792488	404
1490792489	404
1490792490	404
1490792491	404
1490792492	404
1490792493	405
1490792494	405
1490792495	405
1490792496	405
1490792497	404
1490792498	405
1490792499	405
1490792501	405
1490792502	404
1490792503	404
1490792504	405
1490792505	405
1490792506	404
1490792507	405
1490792508	405
1490792509	405
1490792510	405
1490792511	405
1490792512	405
1490792514	405
1490792515	405
1490792516	405
1490792517	405
1490792518	405
1490792519	405
1490792520	405
1490792521	405
1490792522	405
1490792523	405
1490792524	405
1490792525	405
1490792526	405
1490792528	405
1490792529	405
1490792530	405
1490792531	405
1490792532	405
1490792533	405
1490792534	405
1490792535	405
1490792536	404
1490792537	404
1490792538	405
1490792539	405
1490792541	405
1490792542	405
1490792543	405
1490792544	405
1490792545	405
1490792546	404
1490792547	405
1490792548	405
1490792549	405
1490792550	404
1490792551	404
1490792552	403
1490792553	403
1490792555	403
1490792556	403
1490792557	403
1490792558	404
1490792559	403
1490792560	403
1490792561	403
1490792562	403
1490792563	404
1490792564	404
1490792565	404
1490792566	403
1490792567	404
1490792569	404
1490792570	404
1490792571	404
1490792572	404
1490792573	404
1490792574	404
1490792575	404
1490792576	404
1490792577	404
1490792578	404
1490792579	404
1490792580	404
1490792582	404
1490792583	404
1490792584	404
1490792585	404
1490792586	403
1490792587	403
1490792588	403
1490792589	404
1490792590	403
1490792591	403
1490792592	403
1490792593	403
1490792594	403
1490792596	403
1490792597	403
1490792598	403
1490792599	403
1490792600	403
1490792601	403
1490792602	403
1490792603	404
1490792604	403
1490792605	403
1490792606	403
1490792607	403
1490792608	404
1490792610	403
1490792611	402
1490792612	402
1490792613	402
1490792614	402
1490792615	402
1490792616	402
1490792617	402
1490792618	401
1490792619	402
1490792620	401
1490792621	401
1490792622	401
1490792623	401
1490792625	401
1490792626	401
1490792627	401
1490792628	401
1490792629	401
1490792630	402
1490792631	401
1490792632	401
1490792633	400
1490792634	401
1490792635	401
1490792636	401
1490792637	401
1490792639	401
1490792640	401
1490792641	402
1490792642	402
1490792643	402
1490792644	402
1490792645	402
1490792646	401
1490792647	401
1490792648	401
1490792649	402
1490792651	402
1490792652	402
1490792653	402
1490792654	402
1490792655	402
1490792656	402
1490792657	402
1490792658	402
1490792659	402
1490792660	402
1490792661	402
1490792663	402
1490792664	402
1490792665	402
1490792666	402
1490792667	402
1490792668	402
1490792669	402
1490792670	402
1490792671	402
1490792672	402
1490792673	402
1490792674	402
1490792676	402
1490792677	402
1490792678	403
1490792679	403
1490792680	403
1490792681	403
1490792682	404
1490792683	405
1490792684	405
1490792685	405
1490792686	405
1490792687	405
1490792688	407
1490792689	408
1490792691	408
1490792692	408
1490792693	409
1490792694	409
1490792695	409
1490792696	409
1490792697	409
1490792698	409
1490792699	409
1490792700	409
1490792701	409
1490792702	408
1490792704	408
1490792705	408
1490792706	408
1490792707	407
1490792708	406
1490792709	407
1490792710	407
1490792711	406
1490792712	406
1490792713	405
1490792714	405
1490792715	405
1490792717	404
1490792718	404
1490792719	403
1490792720	404
1490792721	403
1490792722	403
1490792723	403
1490792724	402
1490792725	403
1490792726	403
1490792727	402
1490792728	402
1490792729	402
1490792731	403
1490792732	402
1490792733	402
1490792734	400
1490792735	401
1490792736	401
1490792737	400
1490792738	400
1490792739	399
1490792740	400
1490792741	399
1490792742	398
1490792743	398
1490792744	398
1490792746	398
1490792747	398
1490792748	398
1490792749	398
1490792750	398
1490792751	398
1490792752	396
1490792753	396
1490792754	396
1490792755	396
1490792756	395
1490792757	395
1490792758	396
1490792760	396
1490792761	395
1490792762	395
1490792763	395
1490792764	396
1490792765	395
1490792766	395
1490792767	395
1490792768	395
1490792769	395
1490792770	394
1490792771	394
1490792773	394
1490792774	394
1490792775	394
1490792776	394
1490792777	394
1490792778	394
1490792779	394
1490792780	393
1490792781	393
1490792782	393
1490792783	393
1490792784	393
1490792786	392
1490792787	392
1490792788	393
