,sensor [K-30 FR],,
,CO2,,,
03/03/17 19:51:17.326,"433",,
03/03/17 19:51:18.326,"434",,
03/03/17 19:51:19.326,"435",,
03/03/17 19:51:20.326,"436",,
03/03/17 19:51:21.326,"435",,
03/03/17 19:51:22.326,"435",,
03/03/17 19:51:23.326,"435",,
03/03/17 19:51:24.327,"436",,
03/03/17 19:51:25.326,"436",,
03/03/17 19:51:26.326,"435",,
03/03/17 19:51:27.326,"435",,
03/03/17 19:51:28.326,"436",,
03/03/17 19:51:29.326,"436",,
03/03/17 19:51:30.326,"435",,
03/03/17 19:51:31.326,"435",,
03/03/17 19:51:32.326,"435",,
03/03/17 19:51:33.326,"434",,
03/03/17 19:51:34.326,"434",,
03/03/17 19:51:35.326,"434",,
03/03/17 19:51:36.326,"434",,
03/03/17 19:51:37.326,"434",,
03/03/17 19:51:38.326,"435",,
03/03/17 19:51:39.326,"435",,
03/03/17 19:51:40.326,"435",,
03/03/17 19:51:41.327,"435",,
03/03/17 19:51:42.326,"435",,
03/03/17 19:51:43.326,"436",,
03/03/17 19:51:44.326,"435",,
03/03/17 19:51:45.326,"435",,
03/03/17 19:51:46.326,"435",,
03/03/17 19:51:47.326,"435",,
03/03/17 19:51:48.326,"435",,
03/03/17 19:51:49.326,"435",,
03/03/17 19:51:50.326,"435",,
03/03/17 19:51:51.326,"435",,
03/03/17 19:51:52.326,"435",,
03/03/17 19:51:53.326,"434",,
03/03/17 19:51:54.326,"434",,
03/03/17 19:51:55.326,"434",,
03/03/17 19:51:55.326,"434",,
03/03/17 19:51:56.326,"434",,
03/03/17 19:51:57.326,"435",,
03/03/17 19:51:58.326,"435",,
03/03/17 19:51:59.327,"435",,
03/03/17 19:52:00.327,"434",,
03/03/17 19:52:01.326,"434",,
03/03/17 19:52:02.326,"434",,
03/03/17 19:52:03.326,"434",,
03/03/17 19:52:04.327,"434",,
03/03/17 19:52:05.326,"430",,
03/03/17 19:52:06.326,"431",,
03/03/17 19:52:07.326,"431",,
03/03/17 19:52:08.326,"431",,
03/03/17 19:52:09.326,"432",,
03/03/17 19:52:10.326,"432",,
03/03/17 19:52:11.326,"433",,
03/03/17 19:52:12.326,"433",,
03/03/17 19:52:13.327,"433",,
03/03/17 19:52:14.326,"433",,
03/03/17 19:52:15.326,"433",,
03/03/17 19:52:16.326,"433",,
03/03/17 19:52:17.326,"433",,
03/03/17 19:52:18.326,"434",,
03/03/17 19:52:19.326,"434",,
03/03/17 19:52:20.326,"435",,
03/03/17 19:52:21.326,"435",,
03/03/17 19:52:22.326,"435",,
03/03/17 19:52:23.326,"434",,
03/03/17 19:52:24.326,"434",,
03/03/17 19:52:25.326,"434",,
03/03/17 19:52:26.326,"435",,
03/03/17 19:52:27.326,"434",,
03/03/17 19:52:28.326,"434",,
03/03/17 19:52:29.326,"434",,
03/03/17 19:52:30.326,"434",,
03/03/17 19:52:31.326,"433",,
03/03/17 19:52:32.326,"433",,
03/03/17 19:52:33.326,"434",,
03/03/17 19:52:34.327,"434",,
03/03/17 19:52:35.326,"434",,
03/03/17 19:52:36.326,"434",,
03/03/17 19:52:37.326,"435",,
03/03/17 19:52:38.326,"435",,
03/03/17 19:52:39.326,"435",,
03/03/17 19:52:40.326,"435",,
03/03/17 19:52:41.327,"435",,
03/03/17 19:52:42.326,"435",,
03/03/17 19:52:43.326,"435",,
03/03/17 19:52:44.326,"435",,
03/03/17 19:52:45.326,"436",,
03/03/17 19:52:46.326,"435",,
03/03/17 19:52:46.326,"435",,
03/03/17 19:52:47.326,"436",,
03/03/17 19:52:48.326,"437",,
03/03/17 19:52:49.326,"437",,
03/03/17 19:52:50.326,"437",,
03/03/17 19:52:51.326,"437",,
03/03/17 19:52:52.326,"436",,
03/03/17 19:52:53.327,"435",,
03/03/17 19:52:54.326,"435",,
03/03/17 19:52:55.326,"435",,
03/03/17 19:52:56.326,"436",,
03/03/17 19:52:57.326,"437",,
03/03/17 19:52:58.326,"437",,
03/03/17 19:52:59.326,"436",,
03/03/17 19:53:00.326,"436",,
03/03/17 19:53:01.326,"436",,
03/03/17 19:53:02.326,"435",,
03/03/17 19:53:03.326,"435",,
03/03/17 19:53:04.327,"434",,
03/03/17 19:53:05.326,"434",,
03/03/17 19:53:06.326,"434",,
03/03/17 19:53:07.326,"435",,
03/03/17 19:53:08.326,"436",,
03/03/17 19:53:09.326,"436",,
03/03/17 19:53:10.326,"437",,
03/03/17 19:53:11.327,"436",,
03/03/17 19:53:12.326,"436",,
03/03/17 19:53:13.326,"437",,
03/03/17 19:53:14.327,"437",,
03/03/17 19:53:15.326,"437",,
03/03/17 19:53:16.326,"437",,
03/03/17 19:53:17.326,"438",,
03/03/17 19:53:18.326,"437",,
03/03/17 19:53:19.326,"438",,
03/03/17 19:53:20.326,"437",,
03/03/17 19:53:21.326,"437",,
03/03/17 19:53:22.326,"437",,
03/03/17 19:53:23.326,"437",,
03/03/17 19:53:24.326,"437",,
03/03/17 19:53:25.327,"437",,
03/03/17 19:53:26.326,"437",,
03/03/17 19:53:27.326,"437",,
03/03/17 19:53:28.326,"437",,
03/03/17 19:53:29.327,"437",,
03/03/17 19:53:30.326,"438",,
03/03/17 19:53:31.326,"438",,
03/03/17 19:53:32.326,"437",,
03/03/17 19:53:33.326,"437",,
03/03/17 19:53:34.326,"438",,
03/03/17 19:53:35.326,"438",,
03/03/17 19:53:36.326,"438",,
03/03/17 19:53:37.326,"438",,
03/03/17 19:53:37.326,"438",,
03/03/17 19:53:38.326,"438",,
03/03/17 19:53:39.326,"438",,
03/03/17 19:53:40.326,"437",,
03/03/17 19:53:41.326,"436",,
03/03/17 19:53:42.326,"436",,
03/03/17 19:53:43.326,"436",,
03/03/17 19:53:44.327,"437",,
03/03/17 19:53:45.326,"436",,
03/03/17 19:53:46.326,"435",,
03/03/17 19:53:47.326,"434",,
03/03/17 19:53:48.326,"433",,
03/03/17 19:53:49.326,"432",,
03/03/17 19:53:50.326,"432",,
03/03/17 19:53:51.326,"432",,
03/03/17 19:53:52.326,"432",,
03/03/17 19:53:53.326,"432",,
03/03/17 19:53:54.326,"432",,
03/03/17 19:53:55.326,"432",,
03/03/17 19:53:56.326,"432",,
03/03/17 19:53:57.327,"433",,
03/03/17 19:53:58.326,"434",,
03/03/17 19:53:59.327,"435",,
03/03/17 19:54:00.326,"435",,
03/03/17 19:54:01.327,"435",,
03/03/17 19:54:02.326,"436",,
03/03/17 19:54:03.326,"436",,
03/03/17 19:54:04.326,"436",,
03/03/17 19:54:05.326,"436",,
03/03/17 19:54:06.326,"437",,
03/03/17 19:54:07.326,"437",,
03/03/17 19:54:08.326,"437",,
03/03/17 19:54:09.326,"437",,
03/03/17 19:54:10.326,"437",,
03/03/17 19:54:11.326,"438",,
03/03/17 19:54:12.326,"438",,
03/03/17 19:54:13.327,"437",,
03/03/17 19:54:14.326,"437",,
03/03/17 19:54:15.326,"437",,
03/03/17 19:54:16.326,"437",,
03/03/17 19:54:17.326,"437",,
03/03/17 19:54:18.327,"438",,
03/03/17 19:54:19.327,"437",,
03/03/17 19:54:20.326,"437",,
03/03/17 19:54:21.326,"437",,
03/03/17 19:54:22.326,"437",,
03/03/17 19:54:23.326,"437",,
03/03/17 19:54:24.326,"436",,
03/03/17 19:54:25.326,"436",,
03/03/17 19:54:26.326,"436",,
03/03/17 19:54:27.326,"436",,
03/03/17 19:54:28.326,"437",,
03/03/17 19:54:28.326,"437",,
03/03/17 19:54:29.326,"437",,
03/03/17 19:54:30.326,"438",,
03/03/17 19:54:31.326,"439",,
03/03/17 19:54:32.326,"439",,
03/03/17 19:54:33.326,"438",,
03/03/17 19:54:34.326,"438",,
03/03/17 19:54:35.326,"438",,
03/03/17 19:54:36.326,"438",,
03/03/17 19:54:37.326,"437",,
03/03/17 19:54:38.326,"437",,
03/03/17 19:54:39.327,"437",,
03/03/17 19:54:40.326,"437",,
03/03/17 19:54:41.326,"436",,
03/03/17 19:54:42.326,"435",,
03/03/17 19:54:43.326,"434",,
03/03/17 19:54:44.326,"435",,
03/03/17 19:54:45.326,"435",,
03/03/17 19:54:46.327,"435",,
03/03/17 19:54:47.326,"436",,
03/03/17 19:54:48.326,"435",,
03/03/17 19:54:49.326,"434",,
03/03/17 19:54:50.327,"434",,
03/03/17 19:54:51.326,"434",,
03/03/17 19:54:52.326,"434",,
03/03/17 19:54:53.326,"433",,
03/03/17 19:54:54.326,"433",,
03/03/17 19:54:55.326,"432",,
03/03/17 19:54:56.326,"432",,
03/03/17 19:54:57.327,"433",,
03/03/17 19:54:58.327,"433",,
03/03/17 19:54:59.326,"433",,
03/03/17 19:55:00.326,"431",,
03/03/17 19:55:01.327,"431",,
03/03/17 19:55:02.326,"431",,
03/03/17 19:55:03.327,"431",,
03/03/17 19:55:04.326,"430",,
03/03/17 19:55:05.326,"431",,
03/03/17 19:55:06.326,"432",,
03/03/17 19:55:07.326,"432",,
03/03/17 19:55:08.326,"432",,
03/03/17 19:55:09.327,"432",,
03/03/17 19:55:10.326,"433",,
03/03/17 19:55:11.326,"432",,
03/03/17 19:55:12.326,"431",,
03/03/17 19:55:13.326,"432",,
03/03/17 19:55:14.326,"433",,
03/03/17 19:55:15.326,"433",,
03/03/17 19:55:16.326,"434",,
03/03/17 19:55:17.326,"434",,
03/03/17 19:55:18.327,"434",,
03/03/17 19:55:19.326,"434",,
03/03/17 19:55:19.326,"434",,
03/03/17 19:55:20.326,"434",,
03/03/17 19:55:21.326,"434",,
03/03/17 19:55:22.326,"435",,
03/03/17 19:55:23.326,"435",,
03/03/17 19:55:24.327,"435",,
03/03/17 19:55:25.326,"435",,
03/03/17 19:55:26.327,"435",,
03/03/17 19:55:27.326,"435",,
03/03/17 19:55:28.326,"435",,
03/03/17 19:55:29.326,"435",,
03/03/17 19:55:30.326,"435",,
03/03/17 19:55:31.326,"436",,
03/03/17 19:55:32.326,"435",,
03/03/17 19:55:33.326,"436",,
03/03/17 19:55:34.327,"435",,
03/03/17 19:55:35.326,"434",,
03/03/17 19:55:36.326,"434",,
03/03/17 19:55:37.326,"435",,
03/03/17 19:55:38.326,"435",,
03/03/17 19:55:39.326,"436",,
03/03/17 19:55:40.326,"436",,
03/03/17 19:55:41.326,"436",,
03/03/17 19:55:42.326,"436",,
03/03/17 19:55:43.326,"435",,
03/03/17 19:55:44.326,"435",,
03/03/17 19:55:45.326,"435",,
03/03/17 19:55:46.326,"434",,
03/03/17 19:55:47.326,"434",,
03/03/17 19:55:48.326,"435",,
03/03/17 19:55:49.326,"435",,
03/03/17 19:55:50.326,"435",,
03/03/17 19:55:51.326,"435",,
03/03/17 19:55:52.327,"432",,
03/03/17 19:55:53.326,"430",,
03/03/17 19:55:54.326,"430",,
03/03/17 19:55:55.326,"430",,
03/03/17 19:55:56.326,"429",,
03/03/17 19:55:57.326,"428",,
03/03/17 19:55:58.326,"428",,
03/03/17 19:55:59.326,"429",,
03/03/17 19:56:00.326,"430",,
03/03/17 19:56:01.326,"431",,
03/03/17 19:56:02.326,"431",,
03/03/17 19:56:03.326,"431",,
03/03/17 19:56:04.326,"432",,
03/03/17 19:56:05.326,"432",,
03/03/17 19:56:06.326,"434",,
03/03/17 19:56:07.326,"434",,
03/03/17 19:56:08.326,"433",,
03/03/17 19:56:09.327,"433",,
03/03/17 19:56:10.327,"434",,
03/03/17 19:56:10.327,"434",,
03/03/17 19:56:11.326,"434",,
03/03/17 19:56:12.326,"434",,
03/03/17 19:56:13.326,"434",,
03/03/17 19:56:14.326,"435",,
03/03/17 19:56:15.326,"434",,
03/03/17 19:56:16.326,"434",,
03/03/17 19:56:17.326,"434",,
03/03/17 19:56:18.326,"433",,
03/03/17 19:56:19.327,"433",,
03/03/17 19:56:20.326,"432",,
03/03/17 19:56:21.326,"433",,
03/03/17 19:56:22.326,"433",,
03/03/17 19:56:23.327,"434",,
03/03/17 19:56:24.327,"435",,
03/03/17 19:56:25.326,"435",,
03/03/17 19:56:26.326,"434",,
03/03/17 19:56:27.326,"431",,
03/03/17 19:56:28.326,"430",,
03/03/17 19:56:29.326,"429",,
03/03/17 19:56:30.326,"428",,
03/03/17 19:56:31.326,"429",,
03/03/17 19:56:32.327,"429",,
03/03/17 19:56:33.326,"426",,
03/03/17 19:56:34.326,"424",,
03/03/17 19:56:35.326,"425",,
03/03/17 19:56:36.326,"427",,
03/03/17 19:56:37.326,"427",,
03/03/17 19:56:38.326,"427",,
03/03/17 19:56:39.327,"428",,
03/03/17 19:56:40.326,"427",,
03/03/17 19:56:41.326,"427",,
03/03/17 19:56:42.326,"428",,
03/03/17 19:56:43.326,"428",,
03/03/17 19:56:44.326,"428",,
03/03/17 19:56:45.326,"429",,
03/03/17 19:56:46.326,"430",,
03/03/17 19:56:47.326,"431",,
03/03/17 19:56:48.326,"432",,
03/03/17 19:56:49.326,"432",,
03/03/17 19:56:50.326,"432",,
03/03/17 19:56:51.326,"433",,
03/03/17 19:56:52.326,"434",,
03/03/17 19:56:53.326,"435",,
03/03/17 19:56:54.326,"436",,
03/03/17 19:56:55.327,"436",,
03/03/17 19:56:56.326,"435",,
03/03/17 19:56:57.326,"435",,
03/03/17 19:56:58.326,"435",,
03/03/17 19:56:59.327,"435",,
03/03/17 19:57:00.326,"434",,
03/03/17 19:57:01.326,"433",,
03/03/17 19:57:01.326,"433",,
03/03/17 19:57:02.326,"433",,
03/03/17 19:57:03.326,"433",,
03/03/17 19:57:04.326,"433",,
03/03/17 19:57:05.326,"433",,
03/03/17 19:57:06.326,"433",,
03/03/17 19:57:07.326,"433",,
03/03/17 19:57:08.326,"433",,
03/03/17 19:57:09.326,"434",,
03/03/17 19:57:10.326,"433",,
03/03/17 19:57:11.326,"431",,
03/03/17 19:57:12.326,"431",,
03/03/17 19:57:13.326,"431",,
03/03/17 19:57:14.326,"430",,
03/03/17 19:57:15.326,"430",,
03/03/17 19:57:16.326,"430",,
03/03/17 19:57:17.326,"430",,
03/03/17 19:57:18.326,"431",,
03/03/17 19:57:19.326,"432",,
03/03/17 19:57:20.326,"433",,
03/03/17 19:57:21.326,"433",,
03/03/17 19:57:22.326,"432",,
03/03/17 19:57:23.327,"431",,
03/03/17 19:57:24.326,"429",,
03/03/17 19:57:25.326,"429",,
03/03/17 19:57:26.326,"429",,
03/03/17 19:57:27.326,"430",,
03/03/17 19:57:28.326,"430",,
03/03/17 19:57:29.326,"430",,
03/03/17 19:57:30.326,"431",,
03/03/17 19:57:31.327,"430",,
03/03/17 19:57:32.326,"430",,
03/03/17 19:57:33.326,"430",,
03/03/17 19:57:34.326,"430",,
03/03/17 19:57:35.326,"430",,
03/03/17 19:57:36.326,"430",,
03/03/17 19:57:37.326,"430",,
03/03/17 19:57:38.326,"430",,
03/03/17 19:57:39.326,"430",,
03/03/17 19:57:40.326,"430",,
03/03/17 19:57:41.326,"431",,
03/03/17 19:57:42.326,"431",,
03/03/17 19:57:43.326,"431",,
03/03/17 19:57:44.327,"432",,
03/03/17 19:57:45.326,"432",,
03/03/17 19:57:46.326,"432",,
03/03/17 19:57:47.326,"431",,
03/03/17 19:57:48.326,"432",,
03/03/17 19:57:49.327,"431",,
03/03/17 19:57:50.326,"431",,
03/03/17 19:57:51.326,"431",,
03/03/17 19:57:52.327,"432",,
03/03/17 19:57:52.327,"432",,
03/03/17 19:57:53.326,"432",,
03/03/17 19:57:54.327,"432",,
03/03/17 19:57:55.326,"432",,
03/03/17 19:57:56.327,"432",,
03/03/17 19:57:57.326,"432",,
03/03/17 19:57:58.327,"432",,
03/03/17 19:57:59.326,"432",,
03/03/17 19:58:00.326,"432",,
03/03/17 19:58:01.326,"432",,
03/03/17 19:58:02.326,"433",,
03/03/17 19:58:03.326,"432",,
03/03/17 19:58:04.326,"432",,
03/03/17 19:58:05.326,"432",,
03/03/17 19:58:06.326,"432",,
03/03/17 19:58:07.326,"433",,
03/03/17 19:58:08.326,"433",,
03/03/17 19:58:09.326,"434",,
03/03/17 19:58:10.326,"434",,
03/03/17 19:58:11.326,"433",,
03/03/17 19:58:12.326,"434",,
03/03/17 19:58:13.326,"434",,
03/03/17 19:58:14.327,"434",,
03/03/17 19:58:15.326,"434",,
03/03/17 19:58:16.326,"434",,
03/03/17 19:58:17.326,"434",,
03/03/17 19:58:18.326,"434",,
03/03/17 19:58:19.326,"434",,
03/03/17 19:58:20.326,"434",,
03/03/17 19:58:21.326,"434",,
03/03/17 19:58:22.326,"434",,
03/03/17 19:58:23.326,"434",,
03/03/17 19:58:24.326,"434",,
03/03/17 19:58:25.327,"434",,
03/03/17 19:58:26.326,"434",,
03/03/17 19:58:27.326,"434",,
03/03/17 19:58:28.326,"433",,
03/03/17 19:58:29.326,"432",,
03/03/17 19:58:30.326,"433",,
03/03/17 19:58:31.326,"434",,
03/03/17 19:58:32.326,"434",,
03/03/17 19:58:33.326,"434",,
03/03/17 19:58:34.326,"435",,
03/03/17 19:58:35.326,"435",,
03/03/17 19:58:36.327,"436",,
03/03/17 19:58:37.326,"436",,
03/03/17 19:58:38.326,"436",,
03/03/17 19:58:39.326,"437",,
03/03/17 19:58:40.326,"437",,
03/03/17 19:58:41.326,"436",,
03/03/17 19:58:42.326,"436",,
03/03/17 19:58:43.326,"436",,
03/03/17 19:58:43.326,"436",,
03/03/17 19:58:44.326,"436",,
03/03/17 19:58:45.326,"437",,
03/03/17 19:58:46.326,"437",,
03/03/17 19:58:47.326,"438",,
03/03/17 19:58:48.326,"437",,
03/03/17 19:58:49.327,"437",,
03/03/17 19:58:50.326,"436",,
03/03/17 19:58:51.326,"435",,
03/03/17 19:58:52.327,"435",,
03/03/17 19:58:53.326,"436",,
03/03/17 19:58:54.326,"437",,
03/03/17 19:58:55.326,"437",,
03/03/17 19:58:56.326,"437",,
03/03/17 19:58:57.326,"437",,
03/03/17 19:58:58.326,"436",,
03/03/17 19:58:59.326,"435",,
03/03/17 19:59:00.326,"435",,
03/03/17 19:59:01.326,"434",,
03/03/17 19:59:02.326,"435",,
03/03/17 19:59:03.326,"435",,
03/03/17 19:59:04.326,"435",,
03/03/17 19:59:05.326,"435",,
03/03/17 19:59:06.326,"436",,
03/03/17 19:59:07.326,"436",,
03/03/17 19:59:08.326,"436",,
03/03/17 19:59:09.326,"436",,
03/03/17 19:59:10.326,"436",,
03/03/17 19:59:11.326,"436",,
03/03/17 19:59:12.326,"436",,
03/03/17 19:59:13.326,"436",,
03/03/17 19:59:14.326,"435",,
03/03/17 19:59:15.326,"435",,
03/03/17 19:59:16.326,"435",,
03/03/17 19:59:17.326,"435",,
03/03/17 19:59:18.326,"435",,
03/03/17 19:59:19.326,"436",,
03/03/17 19:59:20.327,"436",,
03/03/17 19:59:21.326,"436",,
03/03/17 19:59:22.326,"436",,
03/03/17 19:59:23.326,"437",,
03/03/17 19:59:24.327,"437",,
03/03/17 19:59:25.326,"436",,
03/03/17 19:59:26.326,"435",,
03/03/17 19:59:27.326,"436",,
03/03/17 19:59:28.326,"436",,
03/03/17 19:59:29.326,"437",,
03/03/17 19:59:30.326,"437",,
03/03/17 19:59:31.326,"438",,
03/03/17 19:59:32.326,"439",,
